from,to,type,role,feedback,label
TNFR,TRAF2_5,activation,core,0,TNFR_to_TRAF2_5
IL1R,TRAF6,activation,core,0,IL1R_to_TRAF6
CD40,TRAF6,activation,noncanonical_to_canonical,0,CD40_to_TRAF6
CD40,TRAF2_3,activation,core,0,CD40_to_TRAF2_3
LTB,TRAF2_3,activation,core,0,LTB_to_TRAF2_3
BAFFR,TRAF2_3,activation,core,0,BAFFR_to_TRAF2_3
TRAF2_5,TAK1_TAB,activation,core,0,TRAF2_5_to_TAK1_TAB
TRAF6,TAK1_TAB,activation,core,0,TRAF6_to_TAK1_TAB
TAK1_TAB,NEMO_IKKa_IKKb,activation,core,0,TAK1_TAB_to_IKK_complex
TRAF2_3,Btx,activation,noncanonical_to_canonical,0,TRAF2_3_to_Btx
Btx,NEMO_IKKa_IKKb,activation,noncanonical_to_canonical,0,Btx_to_IKK_complex
NEMO_IKKa_IKKb,IkBa_release_signal,activation,core,0,IKK_complex_to_IkBa_release_signal
IkBa_release_signal,p50_p65,activation,core,0,IkBa_release_signal_to_p50_p65
p50_p65,TNFa,activation,core,0,p50_p65_to_TNFa
p50_p65,p100,activation,core,0,p50_p65_to_p100
p50_p65,Phenotype_canonical,activation,core,0,p50_p65_to_canonical_phenotype
TRAF2_3,NIK,activation,core,0,TRAF2_3_to_NIK
NIK,IKKa_noncanonical,activation,core,0,NIK_to_IKKa
IKKa_noncanonical,p100_RelB,activation,core,0,IKKa_to_p100_RelB
p100,p100_RelB,activation,canonical_to_noncanonical,0,p100_to_p100_RelB
p100_RelB,p52,activation,core,0,p100_RelB_to_p52
p52,Phenotype_noncanonical,activation,core,0,p52_to_noncanonical_phenotype
p100_RelB,BAFF,activation,core,0,p100_RelB_to_BAFF
TNFa,TNFR,activation,core,1,TNFa_feedback_to_TNFR
BAFF,BAFFR,activation,core,1,BAFF_feedback_to_BAFFR
