node,final_mean,final_sd,final_cv,auc_mean,auc_sd
TNFR,1,0,0,500,2.086128449e-05
IL1R,1,0,0,500,2.086128449e-05
CD40,1,0,0,500,2.086128449e-05
LTB,1,0,0,500,2.086128449e-05
BAFFR,1,0,0,500,2.086128449e-05
TRAF2_5,0.4720117154,0.1923073367,0.4074206856,235.1175153,95.69521416
TRAF6,0.5956767018,0.1319911494,0.2215818564,296.9887676,65.58102363
TRAF2_3,0.6672831241,0.08821460464,0.1321996638,332.9880716,43.88984541
Btx,0.3976366799,0.1859653323,0.4676765039,197.6266525,92.34651861
TAK1_TAB,0.5025879472,0.1663091405,0.3309055488,249.9710778,82.53711105
NEMO_IKKa_IKKb,0.3970204162,0.09878006157,0.248803481,197.2484149,49.05510536
IkBa_release_signal,0.2254899561,0.1109160749,0.4918892035,111.7319066,55.12986773
p50_p65,0.1492869646,0.08886597581,0.5952694936,73.69226316,43.9906291
TNFa,0.4769814549,0.22778795,0.4775614391,231.6327526,112.1589153
p100,0.1704766573,0.160025659,0.9386954293,83.81057431,78.67072078
Phenotype_canonical,0.6295197954,0.2498414135,0.396876183,302.0049623,124.5199661
NIK,0.3997552751,0.1790248198,0.4478360411,198.7161329,88.80317592
IKKa_noncanonical,0.3062485104,0.1588758956,0.5187809581,151.7083256,78.72737146
p100_RelB,0.3468841297,0.1305569944,0.3763706183,170.9498893,64.6103527
p52,0.2932940724,0.1634339,0.5572356056,144.0080841,80.36725505
BAFF,0.655286518,0.1847605767,0.2819538808,319.3349061,92.20630347
Phenotype_noncanonical,0.7663782029,0.1958594362,0.255564988,369.9260688,98.21367599
