time,TNFR,IL1R,CD40,LTB,BAFFR,TRAF2_5,TRAF6,TRAF2_3,Btx,TAK1_TAB,NEMO_IKKa_IKKb,IkBa_release_signal,p50_p65,TNFa,p100,Phenotype_canonical,NIK,IKKa_noncanonical,p100_RelB,p52,BAFF,Phenotype_noncanonical
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1,1,1,1,1,0.1538158394,0.1502907792,0.2542628578,0.02196061261,0.0121579453,0.004346173398,0.0001192583094,4.029119278e-06,3.12513709e-07,3.239831679e-08,2.239261289e-07,0.02646674769,0.00114290148,5.905761322e-05,4.990281049e-06,3.749074945e-06,9.631479345e-08
1,1,1,1,1,1,0.2694647491,0.2687921774,0.413777845,0.06704105345,0.03927466837,0.02637765232,0.001474321233,0.0001010652662,1.634473813e-05,1.650016918e-06,1.171978993e-05,0.08158848633,0.007151558194,0.0007514759166,0.0001293346355,9.918724076e-05,5.154961632e-06
1.5,1,1,1,1,1,0.3549867699,0.3614605663,0.5133562216,0.1156105522,0.07144584415,0.06707719309,0.005635346869,0.0005838377837,0.0001479899778,1.445891106e-05,0.0001054845688,0.1449150742,0.01892050093,0.002971672453,0.0007869066249,0.0006125257244,4.920768289e-05
2,1,1,1,1,1,0.4186128382,0.4343491682,0.5744180263,0.1612010997,0.1037720958,0.1189816064,0.01352954895,0.001875097071,0.0006601633633,6.204708698e-05,0.0004709227976,0.2050691263,0.03535855203,0.00734422889,0.002640918738,0.002096084583,0.0002293901935
2.5,1,1,1,1,1,0.4693225074,0.4915933115,0.6134303421,0.1985392299,0.1337800661,0.1762602099,0.02476045204,0.004327904615,0.001993437093,0.0001814139814,0.001431945631,0.2570894212,0.05507646003,0.01422216999,0.006509432415,0.005269461357,0.0007263489105
3,1,1,1,1,1,0.5043408064,0.5389443802,0.637239527,0.2273000341,0.159502775,0.2301572049,0.03870266516,0.008136392189,0.004673200489,0.0004107848925,0.003389703938,0.3032293385,0.07563651062,0.02352483846,0.01301068818,0.01070491548,0.001789511742
3.5,1,1,1,1,1,0.532704018,0.5749020086,0.6522586697,0.2517640611,0.1807666375,0.2813913873,0.05418846121,0.01330509042,0.009352378366,0.0007850421213,0.006725166009,0.3410547126,0.09593503333,0.0343281454,0.02267475127,0.01890225451,0.003723850844
4,1,1,1,1,1,0.5557045644,0.6026556575,0.6611114534,0.2679613188,0.2013489293,0.3242440655,0.06993477288,0.01963094784,0.01612986554,0.001331863854,0.01181815862,0.3707400704,0.1150129246,0.04650217284,0.03512088721,0.03029963125,0.006841685932
4.5,1,1,1,1,1,0.5724075028,0.6234389014,0.6675854504,0.2841528931,0.2149133976,0.3577734773,0.08443310594,0.02672506367,0.0258114494,0.00205840696,0.01896849095,0.3953939719,0.1337426134,0.05930015998,0.0504103739,0.04444247026,0.01149451145
5,1,1,1,1,1,0.5834663784,0.6440833938,0.6723778773,0.2937239493,0.2262631439,0.3849445532,0.09918379032,0.03421461768,0.03803507148,0.002921632789,0.02840283283,0.4167727298,0.1514857502,0.07358532749,0.06860945414,0.06211706793,0.0178500848
5.5,1,1,1,1,1,0.5923992382,0.6559981866,0.6753270055,0.3038625431,0.2346164156,0.409876061,0.1128612585,0.04167775566,0.05302864622,0.00394121461,0.0398207763,0.4366770788,0.167292371,0.08636920374,0.08843580648,0.08262118947,0.02613758717
6,1,1,1,1,1,0.5976518681,0.6663824126,0.6767020179,0.3100362267,0.2413978335,0.4300358295,0.1244743925,0.04907747277,0.07009576692,0.005006418908,0.05343178748,0.4477941534,0.1805363967,0.09837210546,0.1089464249,0.1052045375,0.03640891237
6.5,1,1,1,1,1,0.6028569273,0.6725603245,0.6780533451,0.3140339426,0.24807667,0.4443609991,0.1350503976,0.05712162251,0.08972486079,0.006185209375,0.06869228263,0.4576445327,0.1930836272,0.1112400462,0.1307881804,0.1288551511,0.04906273725
7,1,1,1,1,1,0.6055587034,0.6788363622,0.6762449767,0.3162575127,0.2524559164,0.4580913828,0.14455659,0.06380184916,0.1117623703,0.007464373557,0.08477556729,0.4679231763,0.2029523631,0.1226407939,0.1555213938,0.1540529725,0.06328798679
7.5,1,1,1,1,1,0.6087013355,0.6823004476,0.6764960512,0.3180840537,0.2558400202,0.4648959948,0.152022181,0.07011247511,0.1322742333,0.008696283215,0.102877348,0.4709398238,0.2152584824,0.1326572275,0.179711029,0.1783412036,0.07898394618
8,1,1,1,1,1,0.6117099469,0.6875014181,0.6747360387,0.3172136991,0.2583984263,0.472903703,0.1587381385,0.07613547101,0.1558921502,0.009936875542,0.120714978,0.4742629906,0.2234537161,0.1423174586,0.2016030593,0.2061223636,0.09774251882
8.5,1,1,1,1,1,0.6145288073,0.6912552594,0.6746150615,0.3199545358,0.2617372813,0.477151119,0.1642952074,0.08107696084,0.1796480836,0.01107504475,0.139142098,0.4744807016,0.2290162325,0.1515556039,0.2191996039,0.2324728609,0.1169653933
9,1,1,1,1,1,0.6141838725,0.692289166,0.6758462422,0.322298329,0.2607054655,0.4808305073,0.1696350073,0.08550338769,0.2037477515,0.0122756102,0.1596899811,0.4798115749,0.2330960127,0.1597709409,0.2390685743,0.2622383814,0.136956414
9.5,1,1,1,1,1,0.6128495265,0.6934447693,0.6758338151,0.3245513396,0.2609708375,0.4853235066,0.1726564807,0.08789266289,0.2269803718,0.01334925581,0.1802574429,0.4847587291,0.2365208484,0.167335545,0.2572066008,0.2872000078,0.1572347987
10,1,1,1,1,1,0.6102106506,0.6963633619,0.6773352201,0.3266292694,0.2615803021,0.4896460087,0.1754089578,0.09191026276,0.2513346041,0.01436896358,0.1995140632,0.4883366926,0.2392307808,0.1734475849,0.2724616706,0.3123073506,0.1780239666
10.5,1,1,1,1,1,0.6116170782,0.6999811656,0.6758757837,0.3275466541,0.2623014015,0.491697745,0.17933061,0.09644122037,0.2729430614,0.01513265548,0.220676721,0.4878884116,0.243977782,0.1771088512,0.2872511605,0.3392693044,0.1992097296
11,1,1,1,1,1,0.6148339928,0.7001490148,0.6779471925,0.326344594,0.2639496714,0.4949306812,0.1824241532,0.09886051192,0.2962309334,0.01594781469,0.2407746006,0.4887988949,0.246874056,0.1832129705,0.3024993631,0.3635935902,0.2214433985
11.5,1,1,1,1,1,0.6166456544,0.7018378506,0.6780458001,0.3256989075,0.2663323538,0.4952535081,0.183636308,0.101341569,0.3165722851,0.01669840712,0.2621374297,0.491189464,0.2486760398,0.1865930138,0.3153561612,0.3846183437,0.2452428319
12,1,1,1,1,1,0.6177748893,0.7006415519,0.679047545,0.3290711594,0.2662237821,0.4962851359,0.1858413902,0.1041129064,0.3383172011,0.01737933314,0.2810646761,0.4926870166,0.250297367,0.1910945813,0.3257755181,0.405669141,0.2676052826
12.5,1,1,1,1,1,0.6166729749,0.7035710849,0.6810345598,0.329629691,0.2677029073,0.4954205397,0.1866589393,0.1051404404,0.35672437,0.01796827589,0.2999269006,0.4928208496,0.2507056499,0.194328112,0.3361987999,0.4299990245,0.2920157524
13,1,1,1,1,1,0.6154129589,0.703879432,0.6783886034,0.3315905861,0.2683771268,0.4986361073,0.1858815426,0.1064206947,0.3766831055,0.01831663196,0.3186512996,0.4955659709,0.2523163807,0.1962857384,0.3439474796,0.4522155103,0.3135118803
