time,TNFR,IL1R,CD40,LTB,BAFFR,TRAF2_5,TRAF6,TRAF2_3,Btx,TAK1_TAB,NEMO_IKKa_IKKb,IkBa_release_signal,p50_p65,TNFa,p100,Phenotype_canonical,NIK,IKKa_noncanonical,p100_RelB,p52,BAFF,Phenotype_noncanonical
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0.0568206375,0.05118829935,0.03449567028,0.01421612221,0.01470188379,0.002781180349,0.0002752138626,1.81003735e-05,9.691619119e-07,1.124488966e-06,1.115028174e-06,0.01504775822,0.001869629709,0.0001430892859,8.072257714e-06,1.137976997e-05,4.536460156e-07
1,0,0,0,0,0,0.09430811146,0.08197198363,0.05204198669,0.04012269097,0.03909530245,0.01441616185,0.002955097662,0.0004003825628,4.613860169e-05,5.144846975e-05,5.288203535e-05,0.04168749224,0.01038963911,0.00163573773,0.0001913834051,0.0002743701749,2.243152133e-05
1.5,0,0,0,0,0,0.119785411,0.1014937673,0.06175259559,0.06602223624,0.06124398032,0.03136022517,0.009803875622,0.00204174803,0.0003820325881,0.0004060371713,0.0004331993437,0.06722577464,0.02446403976,0.005867095777,0.001057600131,0.001546331358,0.0001947110022
2,0,0,0,0,0,0.1376585884,0.1149424018,0.06760814067,0.08845476143,0.07885705906,0.04872914291,0.02016331246,0.0056661673,0.001538446962,0.001546872682,0.001722016367,0.08852937186,0.04120361932,0.01310701047,0.003223164096,0.004782792692,0.0008261504722
2.5,0,0,0,0,0,0.1502809193,0.1243369418,0.07180955886,0.1068326737,0.09260761481,0.06366226557,0.03227537835,0.01131347682,0.004153220834,0.003933341622,0.004597155892,0.1051168271,0.05815390672,0.0226495559,0.007055725206,0.01067608737,0.002372901547
3,0,0,0,0,0,0.1595372443,0.1312616807,0.07452847688,0.1216051518,0.1033335262,0.07530913191,0.04440988519,0.01844743295,0.008726662809,0.007843608022,0.009582912768,0.1179541576,0.07401193584,0.03353285543,0.01260727187,0.01947935043,0.005311455304
3.5,0,0,0,0,0,0.1663857802,0.1362186943,0.07681535201,0.1334937625,0.111804846,0.08397021837,0.05542844057,0.02633965557,0.01544102513,0.01323100979,0.01684621187,0.1277399587,0.08823188296,0.04482725405,0.01958547745,0.03081158511,0.01004865761
4,0,0,0,0,0,0.1716885878,0.1400687417,0.0785457107,0.1429411382,0.118615095,0.09009473885,0.06494475739,0.03425183748,0.02422735904,0.01974690727,0.02639659708,0.1352435312,0.1006433227,0.05589907479,0.02763306781,0.04432261543,0.01678560847
4.5,0,0,0,0,0,0.1758774851,0.142678968,0.07972301374,0.1504787759,0.1243543785,0.0941635969,0.07265467072,0.04175964582,0.03463011396,0.02712030197,0.03781234153,0.1413086763,0.1111224292,0.06626477237,0.0363627478,0.05920221116,0.02559447934
