time,TNFR,IL1R,CD40,LTB,BAFFR,TRAF2_5,TRAF6,TRAF2_3,Btx,TAK1_TAB,NEMO_IKKa_IKKb,IkBa_release_signal,p50_p65,TNFa,p100,Phenotype_canonical,NIK,IKKa_noncanonical,p100_RelB,p52,BAFF,Phenotype_noncanonical
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1,1,1,1,1,0.1236599129,0.2000065039,0.2353148506,0.02454636906,0.03514001784,0.005015076085,0.0003326548174,1.737005269e-05,8.151183461e-07,7.506762366e-07,8.188967188e-07,0.02653379874,0.002235834958,0.000143274466,8.314261734e-06,7.75739051e-06,3.894565732e-07
1,1,1,1,1,1,0.2112445429,0.3325497992,0.3862082478,0.07349042439,0.1029344826,0.02817114434,0.003780601867,0.0004035971413,3.993950817e-05,3.600214158e-05,4.019893282e-05,0.07883454506,0.01307995916,0.001715438937,0.0002026072482,0.0001953663473,1.974551116e-05
1.5,1,1,1,1,1,0.2737576417,0.4211448481,0.4831037803,0.1264534211,0.1739236739,0.06678608034,0.01335489293,0.002176215523,0.0003399050668,0.0003002494766,0.0003431319899,0.1348715445,0.03238890383,0.006449172581,0.001154975478,0.001151184675,0.0001755760753
2,1,1,1,1,1,0.3188843599,0.4806888677,0.5461383484,0.1750114149,0.237442439,0.1123795231,0.02933639199,0.006432826959,0.001411410106,0.001218982744,0.001429417238,0.1861016238,0.05705589118,0.01516212647,0.003631086313,0.00375058063,0.0007634344237
2.5,1,1,1,1,1,0.35164324,0.5210274056,0.5867558441,0.2166484439,0.2904746667,0.1580901828,0.04996269851,0.01371228681,0.003939614004,0.003333306123,0.004011225352,0.2298149637,0.08379724533,0.02776679003,0.008248861656,0.008842531564,0.002241043858
3,1,1,1,1,1,0.3758804463,0.5483563312,0.6131395885,0.2513047828,0.3334692643,0.1999374721,0.07297853314,0.0237705264,0.008589014815,0.007086654519,0.008771991181,0.2655700383,0.1102731735,0.04353474215,0.01533494867,0.01702437675,0.005137453694
3.5,1,1,1,1,1,0.3936258824,0.567160985,0.6305054139,0.2790259967,0.3674149736,0.2365606212,0.09611405771,0.03595281178,0.0157799931,0.0126824995,0.01618368911,0.294716463,0.135284157,0.06169576359,0.02484864361,0.02855681658,0.009943321502
4,1,1,1,1,1,0.4068606456,0.5799063277,0.6420192754,0.3014636275,0.3938040935,0.2670505909,0.1182245334,0.04929721661,0.025662182,0.02009891968,0.02639874187,0.318039999,0.1580487545,0.081449013,0.03658401688,0.04338947915,0.01699048808
4.5,1,1,1,1,1,0.4169702238,0.5890583557,0.6495762353,0.3192248581,0.4143634069,0.2919656295,0.1382846664,0.06312658676,0.0380933322,0.02904926601,0.03932257335,0.3366152761,0.1780902539,0.1019679979,0.05017975171,0.0613427075,0.02648066181
5,1,1,1,1,1,0.4246013044,0.5953197393,0.6544385796,0.3332978484,0.4303066206,0.3120509872,0.1560351979,0.07660082045,0.05278088236,0.03915991506,0.05480785598,0.3512966798,0.1957174002,0.122609719,0.06502697844,0.08181210116,0.03845779478
5.5,1,1,1,1,1,0.4307440191,0.5998626111,0.6577459979,0.3446140173,0.4425776228,0.3281723811,0.1713322187,0.08932679257,0.06924703792,0.05005532974,0.07228112585,0.3631336488,0.2107456104,0.1430641784,0.08080106851,0.1045196007,0.0527097575
6,1,1,1,1,1,0.4354379216,0.6030516858,0.6602139765,0.3534457793,0.452361353,0.34111991,0.184257208,0.1010499814,0.08713545974,0.06129154912,0.09132578592,0.3724474381,0.2236302219,0.1627584019,0.09702872518,0.1289095445,0.06920688924
6.5,1,1,1,1,1,0.438979916,0.6052504584,0.6615749808,0.3605670147,0.4599994207,0.351160151,0.1949347077,0.11143772,0.1059849856,0.0725514316,0.1115448222,0.3798894901,0.2346305495,0.1814212191,0.1133414007,0.1544606093,0.08764631637
7,1,1,1,1,1,0.4421564932,0.6066277176,0.6625281749,0.3661168238,0.4658811426,0.3594727459,0.2039086798,0.120571844,0.1253177637,0.08351724684,0.1323804734,0.3859204498,0.2439742951,0.1988042958,0.1295613972,0.1805339427,0.1076667256
7.5,1,1,1,1,1,0.4446649948,0.6076554832,0.6632784707,0.3707173506,0.4705778557,0.3656520181,0.211370542,0.1285372275,0.144665,0.09398977315,0.153689099,0.3905604249,0.2520254682,0.2149596525,0.145228933,0.2067301213,0.1289458422
8,1,1,1,1,1,0.4465200315,0.6084508723,0.6638274086,0.3742583647,0.4741903135,0.370323398,0.2175303361,0.1354353717,0.164025853,0.1038671646,0.1750519657,0.3945333278,0.258720558,0.2298166419,0.160297778,0.23283659,0.1511973408
8.5,1,1,1,1,1,0.4480402788,0.6092181752,0.6639711,0.3772254064,0.4772024491,0.3743117648,0.2226584978,0.141253083,0.1830284129,0.113082844,0.1964477679,0.3976432619,0.2644863246,0.2433093044,0.1744794076,0.2585067045,0.1739798087
9,1,1,1,1,1,0.4492347631,0.6098446143,0.6643470175,0.37961331,0.4795138635,0.376940532,0.2267823655,0.1462783851,0.2016111417,0.1215857346,0.2173874247,0.4004355694,0.2694008721,0.2554196446,0.1879265651,0.2835322241,0.1972918028
9.5,1,1,1,1,1,0.4503712501,0.6100377675,0.6646544649,0.38152042,0.4815978446,0.3793355601,0.2298953666,0.1504380577,0.2194344857,0.1291900808,0.2378129257,0.4026106682,0.2735503268,0.2663430535,0.2002606894,0.3076154069,0.2206973352
10,1,1,1,1,1,0.4512747316,0.6101718237,0.6647352659,0.3828581378,0.4833299129,0.3809784594,0.2324476404,0.1538595152,0.2367906658,0.1361272354,0.2575213513,0.4043831637,0.2772280524,0.2763082556,0.2116360818,0.3306179489,0.2441816303
10.5,1,1,1,1,1,0.4520512896,0.61044521,0.6647073735,0.3841923674,0.4846033756,0.3822378614,0.2345884137,0.1567776688,0.2532211881,0.1423860892,0.2766849452,0.4058672677,0.2804071153,0.2849121052,0.2223411545,0.3526607388,0.2673980959
11,1,1,1,1,1,0.4527461949,0.6106245793,0.664876631,0.3852244949,0.4852817272,0.3838022844,0.2361787653,0.159245935,0.2686331393,0.1479867984,0.2950710007,0.4070784711,0.282904143,0.2927148062,0.2320891091,0.3736671807,0.2901300675
11.5,1,1,1,1,1,0.4532833706,0.6109808334,0.6648177373,0.3861184087,0.4862872534,0.3848277539,0.2375839256,0.16130801,0.283336422,0.1529295597,0.312817937,0.4078842798,0.2849341628,0.2994352516,0.2409227124,0.3934293859,0.3123221282
12,1,1,1,1,1,0.4537748636,0.611022636,0.664844338,0.3870166515,0.4870566142,0.385465601,0.2387936938,0.1630318406,0.297428005,0.1574164802,0.3295753275,0.4091014123,0.2867233911,0.3054618136,0.2489592244,0.4119608553,0.3338767572
12.5,1,1,1,1,1,0.4540757574,0.6109907385,0.6649835408,0.3875305262,0.4875789192,0.3860140059,0.2396515576,0.1643243099,0.3107581866,0.1613781647,0.3457511599,0.4098253019,0.2886541646,0.3106089332,0.2559379372,0.4296020737,0.354783935
13,1,1,1,1,1,0.4546747264,0.6108526517,0.6650472854,0.3880183661,0.4879238044,0.3863271034,0.2403690087,0.1653638812,0.3233616863,0.1649309634,0.3610053383,0.4103901798,0.2899865625,0.3151581287,0.2624599359,0.4459986317,0.3751984679
13.5,1,1,1,1,1,0.4550520327,0.6109260721,0.664946183,0.3885177037,0.4883315349,0.3867603429,0.2408126699,0.1663696829,0.3348860005,0.1681549936,0.3757203861,0.4109340433,0.2911083517,0.318901853,0.2683175488,0.4614189924,0.3945413138
14,1,1,1,1,1,0.4552734376,0.6109750991,0.6648975333,0.3890040544,0.4885364776,0.387224685,0.2413115685,0.1670515097,0.3460096373,0.170923017,0.3895169791,0.4114599813,0.2921742634,0.3226120942,0.2732700514,0.4755363361,0.4132715088
14.5,1,1,1,1,1,0.4553503573,0.6108205394,0.6647734928,0.3894682143,0.4887631537,0.3874131968,0.2417649738,0.1677319055,0.356335356,0.1734542026,0.4025984205,0.4120061644,0.2930511277,0.3257162681,0.2780120004,0.4890974344,0.4308635718
15,1,1,1,1,1,0.4555541457,0.6107480225,0.6646619729,0.3897754428,0.4892340644,0.3875891486,0.242034999,0.1682309195,0.366146253,0.1754677561,0.4151787105,0.412327987,0.2939221465,0.3281691677,0.2820168884,0.5014021052,0.447943037
15.5,1,1,1,1,1,0.4555817799,0.6107374335,0.6645738785,0.389851936,0.4894539007,0.3877948195,0.2423758101,0.1686112515,0.3753235105,0.1772908897,0.4271566378,0.412510286,0.2947903952,0.3306261308,0.2858463005,0.5131269984,0.4640991893
16,1,1,1,1,1,0.4556023033,0.6109436643,0.6648811526,0.3901283225,0.4894991,0.3878780327,0.2426731786,0.1689928548,0.3838719153,0.1789808291,0.4385576685,0.4126065632,0.2954040473,0.3327590329,0.2893180933,0.5239308863,0.4794407139
16.5,1,1,1,1,1,0.4557227076,0.6108573573,0.6649764052,0.3901883598,0.4897095049,0.3879731099,0.2428780748,0.1695210777,0.3918093848,0.1806089263,0.4495664463,0.4127482461,0.2958218284,0.3346280138,0.2923896546,0.5338805134,0.4941957316
17,1,1,1,1,1,0.4559745209,0.6107979024,0.6649603537,0.3904061878,0.4897636671,0.388237565,0.2428539536,0.1696082143,0.3991689768,0.1821083986,0.4596916585,0.4131401549,0.2962352796,0.3361143031,0.2949813915,0.5430684495,0.508290618
17.5,1,1,1,1,1,0.4559007142,0.6108637691,0.6648486107,0.3905584661,0.489837347,0.388437913,0.2429761547,0.1699143363,0.4062856208,0.1831567354,0.4693104893,0.4131921653,0.2966530371,0.3374884519,0.2973272614,0.5518228869,0.5213362188
18,1,1,1,1,1,0.4560465796,0.6108710559,0.6648520903,0.3904256886,0.4900529859,0.3886866118,0.2430949822,0.1700366677,0.4129895942,0.1842407845,0.4785970366,0.413522693,0.2973092374,0.3387265173,0.2994908014,0.5596833883,0.5337742369
18.5,1,1,1,1,1,0.4561686374,0.6107708586,0.6647575992,0.3906107263,0.4902196527,0.3885105877,0.2433005544,0.1700758783,0.4193070229,0.1852704817,0.4875167161,0.4139542791,0.2976661093,0.3396594171,0.301591334,0.5672253858,0.5454529617
19,1,1,1,1,1,0.4562777411,0.6108630728,0.6645745638,0.3906351053,0.4901109112,0.3886015336,0.2431839295,0.1700057941,0.4252455193,0.1860606894,0.4958799945,0.4140164448,0.2978515486,0.3405953477,0.3029931514,0.5743605042,0.5566819131
19.5,1,1,1,1,1,0.4561824227,0.6110992959,0.6647129093,0.3907754874,0.4901431912,0.3885027263,0.243076803,0.1701286838,0.4308285171,0.1867607294,0.5037896759,0.4141324804,0.2981982913,0.3412215555,0.3045328858,0.5808206981,0.5673043752
20,1,1,1,1,1,0.4562952178,0.6109551659,0.6647432727,0.3908657748,0.4903073321,0.3886915164,0.2433478706,0.1701993937,0.436104714,0.1875112245,0.5114199629,0.4141496753,0.298506627,0.3418828144,0.3058921061,0.5867912231,0.5773849658
20.5,1,1,1,1,1,0.4563545452,0.6110971156,0.6648074404,0.3908451787,0.4904517552,0.3885466311,0.2433685107,0.1702399276,0.441040702,0.1881794816,0.5185338757,0.4140894785,0.2988225976,0.3424911773,0.3071458745,0.5924275057,0.5870094452
21,1,1,1,1,1,0.4564385024,0.6110867567,0.6648919428,0.3911899636,0.4904443828,0.388526826,0.243417747,0.1702976147,0.4454001219,0.1885801733,0.5253802705,0.4139947944,0.2988591941,0.3428594601,0.3081275433,0.5975142855,0.5960740666
