dose,chunk,mc,seed,prefix
0,1,125,10001,results/chunks/fucox0_chunk1
0,2,125,10002,results/chunks/fucox0_chunk2
0,3,125,10003,results/chunks/fucox0_chunk3
0,4,125,10004,results/chunks/fucox0_chunk4
0,5,125,10005,results/chunks/fucox0_chunk5
0,6,125,10006,results/chunks/fucox0_chunk6
0,7,125,10007,results/chunks/fucox0_chunk7
0,8,125,10008,results/chunks/fucox0_chunk8
0,9,125,10009,results/chunks/fucox0_chunk9
0,10,125,10010,results/chunks/fucox0_chunk10
0,11,125,10011,results/chunks/fucox0_chunk11
0,12,125,10012,results/chunks/fucox0_chunk12
0,13,125,10013,results/chunks/fucox0_chunk13
0,14,125,10014,results/chunks/fucox0_chunk14
0,15,125,10015,results/chunks/fucox0_chunk15
0,16,125,10016,results/chunks/fucox0_chunk16
25,1,125,35001,results/chunks/fucox25_chunk1
25,2,125,35002,results/chunks/fucox25_chunk2
25,3,125,35003,results/chunks/fucox25_chunk3
25,4,125,35004,results/chunks/fucox25_chunk4
25,5,125,35005,results/chunks/fucox25_chunk5
25,6,125,35006,results/chunks/fucox25_chunk6
25,7,125,35007,results/chunks/fucox25_chunk7
25,8,125,35008,results/chunks/fucox25_chunk8
25,9,125,35009,results/chunks/fucox25_chunk9
25,10,125,35010,results/chunks/fucox25_chunk10
25,11,125,35011,results/chunks/fucox25_chunk11
25,12,125,35012,results/chunks/fucox25_chunk12
25,13,125,35013,results/chunks/fucox25_chunk13
25,14,125,35014,results/chunks/fucox25_chunk14
25,15,125,35015,results/chunks/fucox25_chunk15
25,16,125,35016,results/chunks/fucox25_chunk16
50,1,125,60001,results/chunks/fucox50_chunk1
50,2,125,60002,results/chunks/fucox50_chunk2
50,3,125,60003,results/chunks/fucox50_chunk3
50,4,125,60004,results/chunks/fucox50_chunk4
50,5,125,60005,results/chunks/fucox50_chunk5
50,6,125,60006,results/chunks/fucox50_chunk6
50,7,125,60007,results/chunks/fucox50_chunk7
50,8,125,60008,results/chunks/fucox50_chunk8
50,9,125,60009,results/chunks/fucox50_chunk9
50,10,125,60010,results/chunks/fucox50_chunk10
50,11,125,60011,results/chunks/fucox50_chunk11
50,12,125,60012,results/chunks/fucox50_chunk12
50,13,125,60013,results/chunks/fucox50_chunk13
50,14,125,60014,results/chunks/fucox50_chunk14
50,15,125,60015,results/chunks/fucox50_chunk15
50,16,125,60016,results/chunks/fucox50_chunk16
100,1,125,110001,results/chunks/fucox100_chunk1
100,2,125,110002,results/chunks/fucox100_chunk2
100,3,125,110003,results/chunks/fucox100_chunk3
100,4,125,110004,results/chunks/fucox100_chunk4
100,5,125,110005,results/chunks/fucox100_chunk5
100,6,125,110006,results/chunks/fucox100_chunk6
100,7,125,110007,results/chunks/fucox100_chunk7
100,8,125,110008,results/chunks/fucox100_chunk8
100,9,125,110009,results/chunks/fucox100_chunk9
100,10,125,110010,results/chunks/fucox100_chunk10
100,11,125,110011,results/chunks/fucox100_chunk11
100,12,125,110012,results/chunks/fucox100_chunk12
100,13,125,110013,results/chunks/fucox100_chunk13
100,14,125,110014,results/chunks/fucox100_chunk14
100,15,125,110015,results/chunks/fucox100_chunk15
100,16,125,110016,results/chunks/fucox100_chunk16
