condition_id,family,level,alpha_scale,beta_scale,sigma_scale,r
baseline,baseline,1.0,1.0,1.0,1.0,0.75
alpha_0p50,alpha,0.50,0.50,1.0,1.0,0.75
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75
alpha_1p50,alpha,1.50,1.50,1.0,1.0,0.75
beta_0p50,beta,0.50,1.0,0.50,1.0,0.75
beta_0p75,beta,0.75,1.0,0.75,1.0,0.75
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75
beta_1p50,beta,1.50,1.0,1.50,1.0,0.75
sigma_0p00,sigma,0.00,1.0,1.0,0.0,0.75
sigma_10p00,sigma,10.00,1.0,1.0,10.0,0.75
sigma_30p00,sigma,30.00,1.0,1.0,30.0,0.75
sigma_70p00,sigma,70.00,1.0,1.0,70.0,0.75
r_0p500,r,0.500,1.0,1.0,1.0,0.500
r_0p625,r,0.625,1.0,1.0,1.0,0.625
r_0p875,r,0.875,1.0,1.0,1.0,0.875
r_1p000,r,1.000,1.0,1.0,1.0,1.000
