dt,finest_dt,node,final_mean,final_sd,final_cv,auc_mean,auc_sd,final_mean_abs_difference_vs_finest,final_mean_relative_difference_vs_finest,final_pathwise_rmse_vs_finest,auc_mean_abs_difference_vs_finest,auc_mean_relative_difference_vs_finest,auc_pathwise_rmse_vs_finest,final_cv_abs_difference_vs_finest
0.002,0.0005,TNFR,1,0,0,20,1.05282793836e-06,0,0,0,1.08357767203e-12,5.41788836017e-14,1.0551559626e-12,0
0.002,0.0005,IL1R,1,0,0,20,1.05282793836e-06,0,0,0,1.08357767203e-12,5.41788836017e-14,1.0551559626e-12,0
0.002,0.0005,CD40,1,0,0,20,1.05282793836e-06,0,0,0,1.08357767203e-12,5.41788836017e-14,1.0551559626e-12,0
0.002,0.0005,LTB,1,0,0,20,1.05282793836e-06,0,0,0,1.08357767203e-12,5.41788836017e-14,1.0551559626e-12,0
0.002,0.0005,BAFFR,1,0,0,20,1.05282793836e-06,0,0,0,1.08357767203e-12,5.41788836017e-14,1.0551559626e-12,0
0.002,0.0005,TRAF2_5,0.454661493816,0.177885894909,0.391249088232,8.30381448284,3.2553642585,2.4028047757e-07,5.28482415649e-07,1.45036628311e-06,1.23057675516e-06,1.48194131184e-07,7.16379722525e-06,2.68768720058e-08
0.002,0.0005,TRAF6,0.594936796759,0.137890849987,0.23177394765,11.1484654939,2.49328285123,8.06829791866e-09,1.35616053201e-08,1.13247981799e-06,7.66705966271e-07,6.87723269144e-08,2.96123838645e-06,9.73373588675e-08
0.002,0.0005,TRAF2_3,0.656206993997,0.0913283304565,0.139176100364,12.341507052,1.69008100045,5.13000634195e-08,7.81766422459e-08,1.11683573057e-06,1.52165686274e-07,1.23295872626e-08,3.37328975117e-06,1.63833015848e-07
0.002,0.0005,Btx,0.400532700238,0.199081068197,0.497040736198,6.79646530236,3.37912026612,6.65229330676e-07,1.6608642319e-06,1.97920985364e-06,0.000101468207363,1.49293328217e-05,0.000127188813128,1.07454180942e-07
0.002,0.0005,TAK1_TAB,0.497074693467,0.11804811759,0.237485671956,8.66813864989,1.99255077551,2.74274031431e-07,5.51776596905e-07,1.36114109457e-06,0.000153623438097,1.77224571176e-05,0.000164567560812,1.78290483044e-07
0.002,0.0005,NEMO_IKKa_IKKb,0.452123506357,0.134492039456,0.297467478609,7.32791053931,2.1907507306,6.08561927906e-07,1.34600996958e-06,2.08071190011e-06,0.000300399380398,4.09921852566e-05,0.000325982189446,4.53355857855e-08
0.002,0.0005,IkBa_release_signal,0.357652839816,0.169839969876,0.474873818877,5.18888267158,2.47445264317,1.66970951654e-06,4.6685420211e-06,3.12477703687e-06,0.000357569503535,6.89059451717e-05,0.00041628617909,5.97242043932e-07
0.002,0.0005,p50_p65,0.279572117358,0.129648249438,0.463738124758,3.61902475271,1.88691613994,2.70483846226e-06,9.67501572466e-06,3.38860121066e-06,0.000362106282717,0.000100046305306,0.000409151141206,4.35518761105e-06
0.002,0.0005,TNFa,0.493731976613,0.239342902246,0.484762813801,4.76264853369,2.79784956626,1.53857689361e-06,3.11622856337e-06,6.04555860207e-06,0.0010071613834,0.000211426149972,0.00112097011707,8.14243856884e-06
0.002,0.0005,p100,0.270593822718,0.164146063638,0.606614230839,3.07010347885,2.02744953787,3.80212556994e-06,1.40512409202e-05,4.57612589024e-06,0.000470186905857,0.000153126730389,0.000578131113738,4.99131454323e-06
0.002,0.0005,Phenotype_canonical,0.571650439772,0.260589317754,0.455854311698,5.30853684299,2.9524837643,3.91609035266e-06,6.85045134792e-06,8.84633858499e-06,0.00122129560966,0.00023000964974,0.00134030678971,1.18524124206e-05
0.002,0.0005,NIK,0.441033689509,0.183134780038,0.415239888459,7.52399804907,3.02761665847,4.90059527125e-07,1.1111624425e-06,1.70575763256e-06,0.000116787772677,1.55217956144e-05,0.00013828753977,5.70420419177e-07
0.002,0.0005,IKKa_noncanonical,0.297394949367,0.171855817565,0.577870666366,4.57403049857,2.68032617331,1.23248440159e-06,4.14428527445e-06,2.65869026715e-06,0.000155727845196,3.40449289748e-05,0.000196854253238,7.11893514138e-08
0.002,0.0005,p100_RelB,0.379151545132,0.132213825899,0.348709711449,4.82694513171,1.95575439204,3.74060201391e-06,9.86581478046e-06,4.37569047923e-06,0.000504438846181,0.000104493861367,0.000559803154811,3.01581958767e-06
0.002,0.0005,p52,0.30110218733,0.159042801151,0.528202078373,3.44014752532,1.98294028565,3.47395691747e-06,1.15376013353e-05,4.86373467738e-06,0.000500047941313,0.00014533541453,0.000582487552466,1.68722446858e-06
0.002,0.0005,BAFF,0.576465410835,0.195036591319,0.338331819487,5.68137241351,2.64502742998,3.60890560547e-07,6.26040660369e-07,9.00318818785e-06,0.00114692920416,0.000201834632668,0.0012370541629,1.06980394387e-05
0.002,0.0005,Phenotype_noncanonical,0.567872916983,0.250491311596,0.441104521988,4.84453246271,2.70418125492,1.43911882416e-05,2.53416268238e-05,2.04587056156e-05,0.00140731074303,0.000290410283417,0.00155364337714,2.0680163708e-05
0.001,0.0005,TNFR,1,0,0,20,1.25027757665e-06,0,0,0,2.72493139164e-12,1.36246569582e-13,2.72137867796e-12,0
0.001,0.0005,IL1R,1,0,0,20,1.25027757665e-06,0,0,0,2.72493139164e-12,1.36246569582e-13,2.72137867796e-12,0
0.001,0.0005,CD40,1,0,0,20,1.25027757665e-06,0,0,0,2.72493139164e-12,1.36246569582e-13,2.72137867796e-12,0
0.001,0.0005,LTB,1,0,0,20,1.25027757665e-06,0,0,0,2.72493139164e-12,1.36246569582e-13,2.72137867796e-12,0
0.001,0.0005,BAFFR,1,0,0,20,1.25027757665e-06,0,0,0,2.72493139164e-12,1.36246569582e-13,2.72137867796e-12,0
0.001,0.0005,TRAF2_5,0.454661361916,0.177885814468,0.39124902481,8.30381533135,3.255364151,1.08380345754e-07,2.3837603251e-07,5.39529682736e-07,3.82062328441e-07,4.60104537031e-08,2.4949008282e-06,3.65452343387e-08
0.001,0.0005,TRAF6,0.594936747513,0.137890891212,0.231774036128,11.1484660468,2.493283075,4.11779665921e-08,6.92140196653e-08,4.8090167266e-07,2.13867265231e-07,1.91835594449e-08,1.26296650779e-06,8.85938150619e-09
0.001,0.0005,TRAF2_3,0.656207039644,0.0913282441896,0.13917595922,12.3415069062,1.69008078146,5.65370406047e-09,8.61573203303e-09,4.19271034589e-07,6.35211705458e-09,5.14695418162e-10,1.16252225905e-06,2.26888685062e-08
0.001,0.0005,Btx,0.40053225803,0.199080899008,0.497040862543,6.79653307037,3.37916984849,2.23022215529e-07,5.56814926237e-07,6.88733364653e-07,3.37002004924e-05,4.95841527495e-06,4.2439360259e-05,1.88908268473e-08
0.001,0.0005,TAK1_TAB,0.497074488633,0.118048032542,0.237485598721,8.66824113405,1.99258952374,6.94400336121e-08,1.39697459638e-07,5.37790326509e-07,5.11392740741e-05,5.89957888608e-06,5.47962132439e-05,1.05055460387e-07
0.001,0.0005,NEMO_IKKa_IKKb,0.452123084886,0.134491913706,0.297467477777,7.32811094027,2.19083314597,1.87091277692e-07,4.13806242959e-07,7.50303546406e-07,9.99984181638e-05,1.36456795527e-05,0.000108468964826,4.45036512087e-08
0.001,0.0005,IkBa_release_signal,0.357651738444,0.169839318016,0.474873458618,5.18912102138,2.4745903537,5.68337739759e-07,1.58908396578e-06,1.0489128487e-06,0.000119219709234,2.29744054418e-05,0.000138803815724,2.36983021484e-07
0.001,0.0005,p50_p65,0.279570316935,0.129648261839,0.463741155571,3.61926607177,1.8870406923,9.04415325298e-07,3.23502960194e-06,1.11502118118e-06,0.000120787226282,3.33722895583e-05,0.000136466536803,1.32437524192e-06
0.001,0.0005,TNFa,0.493730935971,0.239339700593,0.484757350929,4.76332012594,2.79817181823,4.97935685351e-07,1.00851729404e-06,2.00301137504e-06,0.000335569136757,7.04436168852e-05,0.000373515941809,2.67956661748e-06
0.001,0.0005,p100,0.270591254663,0.164145408656,0.606617567373,3.07041698555,2.02766583215,1.23407042552e-06,4.56066496027e-06,1.51710520914e-06,0.000156680204621,5.10263623921e-05,0.000192777276906,1.65478015568e-06
0.001,0.0005,Phenotype_canonical,0.571653064241,0.260585972712,0.455846367339,5.30935130849,2.95284036274,1.2916212413e-06,2.25944441436e-06,2.92935229619e-06,0.000406830101389,7.66193281822e-05,0.000446485070324,3.9080529019e-06
0.001,0.0005,NIK,0.441033384743,0.183134479635,0.415239494266,7.52407596001,3.02766472316,1.85293628552e-07,4.20135329456e-07,6.05086185495e-07,3.88768312281e-05,5.16696409758e-06,4.59764750165e-05,1.76226960691e-07
0.001,0.0005,IKKa_noncanonical,0.297394131578,0.17185534674,0.577870672255,4.57413422011,2.68040339869,4.14695022211e-07,1.39443101407e-06,8.74388049955e-07,5.20063021501e-05,1.13695200798e-05,6.57359734859e-05,7.7078186278e-08
0.001,0.0005,p100_RelB,0.379149061397,0.132213687383,0.348711630449,4.82728141144,1.95586997525,1.2568669428e-06,3.31497882299e-06,1.48162417923e-06,0.000168159124009,3.48339473154e-05,0.00018653024321,1.09682039773e-06
0.001,0.0005,p52,0.301099867513,0.159041929504,0.528203253019,3.44048080753,1.98310844789,1.15413941265e-06,3.83309313986e-06,1.61429051018e-06,0.00016676573127,4.84692860047e-05,0.000194318046117,5.12579114376e-07
0.001,0.0005,BAFF,0.576465156615,0.195032385613,0.33832467301,5.68213717443,2.64525781438,1.06670383637e-07,1.85042239157e-07,3.02243378251e-06,0.000382168289517,6.72533196049e-05,0.000412249961082,3.55156220855e-06
0.001,0.0005,Phenotype_noncanonical,0.567882528502,0.250487690135,0.441090679081,4.8454705476,2.70455237538,4.77966909485e-06,8.41658023708e-06,6.8252078365e-06,0.000469225860407,9.68286611767e-05,0.00051813653038,6.83725632106e-06
0.0005,0.0005,TNFR,1,0,0,20,1.23885927742e-06,0,0,0,0,0,0,0
0.0005,0.0005,IL1R,1,0,0,20,1.23885927742e-06,0,0,0,0,0,0,0
0.0005,0.0005,CD40,1,0,0,20,1.23885927742e-06,0,0,0,0,0,0,0
0.0005,0.0005,LTB,1,0,0,20,1.23885927742e-06,0,0,0,0,0,0,0
0.0005,0.0005,BAFFR,1,0,0,20,1.23885927742e-06,0,0,0,0,0,0,0
0.0005,0.0005,TRAF2_5,0.454661253535,0.17788578868,0.391249061355,8.30381571342,3.25536398699,0,0,0,0,0,0,0
