dt,finest_dt,node,final_mean,final_sd,final_cv,auc_mean,auc_sd,final_mean_abs_difference_vs_finest,final_mean_relative_difference_vs_finest,final_pathwise_rmse_vs_finest,auc_mean_abs_difference_vs_finest,auc_mean_relative_difference_vs_finest,auc_pathwise_rmse_vs_finest,final_cv_abs_difference_vs_finest
0.002,0.0005,TNFR,1,0,0,20,1.05282793836e-06,0,0,0,1.08357767203e-12,5.41788836017e-14,1.0551559626e-12,0
0.002,0.0005,IL1R,1,0,0,20,1.05282793836e-06,0,0,0,1.08357767203e-12,5.41788836017e-14,1.0551559626e-12,0
0.002,0.0005,CD40,1,0,0,20,1.05282793836e-06,0,0,0,1.08357767203e-12,5.41788836017e-14,1.0551559626e-12,0
0.002,0.0005,LTB,1,0,0,20,1.05282793836e-06,0,0,0,1.08357767203e-12,5.41788836017e-14,1.0551559626e-12,0
0.002,0.0005,BAFFR,1,0,0,20,1.05282793836e-06,0,0,0,1.08357767203e-12,5.41788836017e-14,1.0551559626e-12,0
0.002,0.0005,TRAF2_5,0.454661493816,0.177885894909,0.391249088232,8.30381448284,3.2553642585,2.4028047757e-07,5.28482415649e-07,1.45036628311e-06,1.23057675516e-06,1.48194131184e-07,7.16379722525e-06,2.68768720058e-08
0.002,0.0005,TRAF6,0.594936796759,0.137890849987,0.23177394765,11.1484654939,2.49328285123,8.06829791866e-09,1.35616053201e-08,1.13247981799e-06,7.66705966271e-07,6.87723269144e-08,2.96123838645e-06,9.73373588675e-08
0.002,0.0005,TRAF2_3,0.656206993997,0.0913283304565,0.139176100364,12.341507052,1.69008100045,5.13000634195e-08,7.81766422459e-08,1.11683573057e-06,1.52165686274e-07,1.23295872626e-08,3.37328975117e-06,1.63833015848e-07
0.002,0.0005,Btx,0.400532700238,0.199081068197,0.497040736198,6.79646530236,3.37912026612,6.65229330676e-07,1.6608642319e-06,1.97920985364e-06,0.000101468207363,1.49293328217e-05,0.000127188813128,1.07454180942e-07
0.002,0.0005,TAK1_TAB,0.497074693467,0.11804811759,0.237485671956,8.66813864989,1.99255077551,2.74274031431e-07,5.51776596905e-07,1.36114109457e-06,0.000153623438097,1.77224571176e-05,0.000164567560812,1.78290483044e-07
0.002,0.0005,NEMO_IKKa_IKKb,0.389723657667,0.0975859189354,0.250397729303,6.43963259556,1.7295828287,2.51147785124e-07,6.44425715579e-07,1.33747653629e-06,0.000246765628737,3.83183620215e-05,0.000262919567479,7.3004478196e-07
0.002,0.0005,IkBa_release_signal,0.248655606081,0.104424737945,0.419957303963,3.80695772078,1.70609472185,3.55759528253e-07,1.43073402952e-06,1.08558519317e-06,0.000222299551047,5.83895560125e-05,0.000251764913868,9.01893498828e-07
0.002,0.0005,p50_p65,0.152436411697,0.0852494514274,0.559245986431,2.14825141684,1.29681455989,5.30817686667e-07,3.48223583323e-06,9.72082299137e-07,0.000167722998969,7.80680994032e-05,0.000200952447027,2.54709875669e-06
0.002,0.0005,TNFa,0.370607152338,0.225465780544,0.608368670494,3.56087108837,2.47853832231,2.53773469405e-06,6.84755287455e-06,4.6547663649e-06,0.000661517295689,0.000185739502886,0.000779907938316,4.63101750992e-06
0.002,0.0005,p100,0.187296480492,0.142639656432,0.761571472449,2.19564461896,1.73657072747,2.57230425779e-06,1.37340519117e-05,3.25527903295e-06,0.000274333216526,0.000124928661986,0.000375315254385,4.57472216464e-06
0.002,0.0005,Phenotype_canonical,0.435054792672,0.247919788421,0.569858768588,3.98672416919,2.64454429693,2.36212097676e-06,5.42944978778e-06,5.79241130763e-06,0.000822866059884,0.000206358960185,0.000948257512593,9.65847181256e-06
0.002,0.0005,NIK,0.441033689509,0.183134780038,0.415239888459,7.52399804907,3.02761665847,4.90059527125e-07,1.1111624425e-06,1.70575763256e-06,0.000116787772677,1.55217956144e-05,0.00013828753977,5.70420419177e-07
0.002,0.0005,IKKa_noncanonical,0.297394949367,0.171855817565,0.577870666366,4.57403049857,2.68032617331,1.23248440159e-06,4.14428527445e-06,2.65869026715e-06,0.000155727845196,3.40449289748e-05,0.000196854253238,7.11893514138e-08
0.002,0.0005,p100_RelB,0.34973511229,0.131254844274,0.37529787448,4.52994665486,1.95712641607,3.81665564797e-06,1.09131087083e-05,4.57617927037e-06,0.000399110067312,8.8097043365e-05,0.000446186417566,3.67004255758e-06
0.002,0.0005,p52,0.28714082294,0.158358258422,0.551500329353,3.30747649184,1.9797540261,4.1347765683e-06,1.44000287624e-05,5.30000659345e-06,0.000431404700496,0.000130416176625,0.000509506658175,2.86505396685e-06
0.002,0.0005,BAFF,0.557044921121,0.198504684508,0.356353100048,5.49463306087,2.65171193752,3.09581595292e-06,5.55760054683e-06,8.12382993751e-06,0.00102449031189,0.000186418149666,0.00110478868315,7.85583484564e-06
0.002,0.0005,Phenotype_noncanonical,0.554735232407,0.250310813872,0.451225736621,4.72784254914,2.69436071945,1.09191272226e-05,1.96831058538e-05,1.64871208134e-05,0.00130316182356,0.000275559668321,0.00143878566627,1.82515320414e-05
0.001,0.0005,TNFR,1,0,0,20,1.25027757665e-06,0,0,0,2.72493139164e-12,1.36246569582e-13,2.72137867796e-12,0
0.001,0.0005,IL1R,1,0,0,20,1.25027757665e-06,0,0,0,2.72493139164e-12,1.36246569582e-13,2.72137867796e-12,0
0.001,0.0005,CD40,1,0,0,20,1.25027757665e-06,0,0,0,2.72493139164e-12,1.36246569582e-13,2.72137867796e-12,0
0.001,0.0005,LTB,1,0,0,20,1.25027757665e-06,0,0,0,2.72493139164e-12,1.36246569582e-13,2.72137867796e-12,0
0.001,0.0005,BAFFR,1,0,0,20,1.25027757665e-06,0,0,0,2.72493139164e-12,1.36246569582e-13,2.72137867796e-12,0
0.001,0.0005,TRAF2_5,0.454661361916,0.177885814468,0.39124902481,8.30381533135,3.255364151,1.08380345754e-07,2.3837603251e-07,5.39529682736e-07,3.82062328441e-07,4.60104537031e-08,2.4949008282e-06,3.65452343387e-08
0.001,0.0005,TRAF6,0.594936747513,0.137890891212,0.231774036128,11.1484660468,2.493283075,4.11779665921e-08,6.92140196653e-08,4.8090167266e-07,2.13867265231e-07,1.91835594449e-08,1.26296650779e-06,8.85938150619e-09
0.001,0.0005,TRAF2_3,0.656207039644,0.0913282441896,0.13917595922,12.3415069062,1.69008078146,5.65370406047e-09,8.61573203303e-09,4.19271034589e-07,6.35211705458e-09,5.14695418162e-10,1.16252225905e-06,2.26888685062e-08
0.001,0.0005,Btx,0.40053225803,0.199080899008,0.497040862543,6.79653307037,3.37916984849,2.23022215529e-07,5.56814926237e-07,6.88733364653e-07,3.37002004924e-05,4.95841527495e-06,4.2439360259e-05,1.88908268473e-08
0.001,0.0005,TAK1_TAB,0.497074488633,0.118048032542,0.237485598721,8.66824113405,1.99258952374,6.94400336121e-08,1.39697459638e-07,5.37790326509e-07,5.11392740741e-05,5.89957888608e-06,5.47962132439e-05,1.05055460387e-07
0.001,0.0005,NEMO_IKKa_IKKb,0.389723468739,0.0975860691217,0.250398236056,6.43979723495,1.72964228601,6.22196988931e-08,1.59650916143e-07,5.09453611173e-07,8.2126239656e-05,1.27527605798e-05,8.74910412747e-05,2.23292042911e-07
0.001,0.0005,IkBa_release_signal,0.24865537498,0.104424804012,0.419957959971,3.80710587669,1.70617229763,1.24658187856e-07,5.01329401629e-07,3.70359858348e-07,7.41436408918e-05,1.94746874316e-05,8.39822174244e-05,2.45886148609e-07
0.001,0.0005,p50_p65,0.1524360649,0.0852495482868,0.559247894143,2.14836317968,1.29688778731,1.84021010624e-07,1.20720272394e-06,3.71136758161e-07,5.59601573658e-05,2.60471322044e-05,6.70648514864e-05,6.39387034207e-07
0.001,0.0005,TNFa,0.370605432737,0.225463580821,0.608365557826,3.56131224204,2.47881228445,8.18133445157e-07,2.20756410719e-06,1.53665439727e-06,0.000220363620843,6.18732566124e-05,0.00025986948873,1.51834950168e-06
0.001,0.0005,p100,0.187294729686,0.142638916011,0.761574638274,2.19582752598,1.73673672021,8.21498879838e-07,4.38614842196e-06,1.07272231603e-06,9.14261973617e-05,4.16345955169e-05,0.000125177393128,1.40889723244e-06
0.001,0.0005,Phenotype_canonical,0.435056386937,0.247917862123,0.569852252644,3.98727299046,2.64485471548,7.6785631431e-07,1.76495503143e-06,1.92358859234e-06,0.000274044788249,6.87251550456e-05,0.000315872402223,3.14252757605e-06
0.001,0.0005,NIK,0.441033384743,0.183134479635,0.415239494266,7.52407596001,3.02766472316,1.85293628552e-07,4.20135329456e-07,6.05086185495e-07,3.88768312281e-05,5.16696409758e-06,4.59764750165e-05,1.76226960691e-07
0.001,0.0005,IKKa_noncanonical,0.297394131578,0.17185534674,0.577870672255,4.57413422011,2.68040339869,4.14695022211e-07,1.39443101407e-06,8.74388049955e-07,5.20063021501e-05,1.13695200798e-05,6.57359734859e-05,7.7078186278e-08
0.001,0.0005,p100_RelB,0.349732575665,0.131254724363,0.375300253667,4.53021269888,1.95722981838,1.2800305717e-06,3.6600401156e-06,1.5453482426e-06,0.00013306604598,2.93721611737e-05,0.000148686930809,1.29085568012e-06
0.001,0.0005,p52,0.287138062467,0.158357302387,0.551502301808,3.30776401308,1.97991407432,1.37430322489e-06,4.78623346142e-06,1.75941625679e-06,0.000143883467351,4.34968178835e-05,0.000169977707697,8.9259911018e-07
0.001,0.0005,BAFF,0.557042845246,0.198501015222,0.356347840952,5.4953161923,2.65193319674,1.01994106716e-06,1.83099548512e-06,2.71710580454e-06,0.000341358882866,6.21142929098e-05,0.000368189619524,2.59673911807e-06
0.001,0.0005,Phenotype_noncanonical,0.554742529174,0.250307324117,0.451213510688,4.72871120663,2.69471627043,3.62236000251e-06,6.52976139175e-06,5.4954062558e-06,0.000434504333504,9.18779754443e-05,0.000479839894112,6.0255994529e-06
0.0005,0.0005,TNFR,1,0,0,20,1.23885927742e-06,0,0,0,0,0,0,0
0.0005,0.0005,IL1R,1,0,0,20,1.23885927742e-06,0,0,0,0,0,0,0
0.0005,0.0005,CD40,1,0,0,20,1.23885927742e-06,0,0,0,0,0,0,0
0.0005,0.0005,LTB,1,0,0,20,1.23885927742e-06,0,0,0,0,0,0,0
0.0005,0.0005,BAFFR,1,0,0,20,1.23885927742e-06,0,0,0,0,0,0,0
0.0005,0.0005,TRAF2_5,0.454661253535,0.17788578868,0.391249061355,8.30381571342,3.25536398699,0,0,0,0,0,0,0
