input,node,bounded_mean,linear_mc_mean,moment_mean,linear_vs_bounded_abs_error,linear_vs_bounded_rel_error,moment_vs_linear_abs_error,moment_vs_linear_rel_error,bounded_cv,linear_mc_cv,moment_cv
0.01,1,0.00988767717892,0.00988953629252,0.0099009900823,1.85911359965e-06,0.000188023290608,1.14537897856e-05,0.0011581725823,0.564247221758,0.5799104303,0.565916456563
0.01,2,0.00960921908458,0.00971591885474,0.00990098970868,0.000106699770158,0.0111038960834,0.000185070853938,0.0190482090994,0.699073193053,0.730457745527,0.731807178579
0.03,1,0.0290811264264,0.0290931079995,0.0291262135593,1.19815731109e-05,0.000412005124398,3.31055598197e-05,0.00113791760647,0.531154395029,0.5718037987,0.558660817922
0.03,2,0.0276959747734,0.0285791132728,0.0291262126293,0.000883138499438,0.0318868899421,0.000547099356474,0.0191433285998,0.647890167208,0.723834033935,0.726731555446
0.1,1,0.0907674415691,0.0908142861328,0.0909090908837,4.68445637124e-05,0.0005160943495,9.48047508948e-05,0.0010439409363,0.451777552314,0.545882192856,0.535303378762
0.1,2,0.0814199417987,0.0891787622408,0.0909090891015,0.00775882044214,0.0952938588599,0.00173032686073,0.0194029028577,0.541622049283,0.703727847196,0.710798662245
0.3,1,0.230584840211,0.230612817409,0.230769230768,2.79771986891e-05,0.000121331474626,0.000156413358769,0.000678250933863,0.330454787542,0.48762169534,0.481899873571
0.3,2,0.183805414064,0.226302462715,0.230769228712,0.0424970486506,0.231206729502,0.00446676599693,0.0197380352973,0.406297805538,0.663748477689,0.676931591266
1,1,0.500175753676,0.500249003058,0.5,7.32493824452e-05,0.000146447287592,0.000249003057998,0.000497758229353,0.1703188886,0.373639516232,0.373632358879
1,2,0.330034965537,0.490425183953,0.499999997939,0.160390218416,0.485979472373,0.00957481398552,0.0195234957315,0.271930054809,0.603267604357,0.621399520228
3,1,0.750398437758,0.751347633209,0.75,0.000949195451391,0.00126492194497,0.0013476332093,0.00179362142067,0.061747479949,0.254539592456,0.255433627809
3,2,0.426526603568,0.736380289251,0.749999997939,0.309853685683,0.726458052303,0.0136197086877,0.018495482411,0.20739828836,0.565084219423,0.584625611874
