input,model,node,final_mean,final_sd,final_cv
0.01,bounded_mc,1,0.00988767717892,0.00557909437784,0.564247221758
0.01,linear_mc,1,0.00988953629252,0.00573504524686,0.5799104303
0.01,moment_ode,1,0.0099009900823,0.00560313322384,0.565916456563
0.01,bounded_mc,2,0.00960921908458,0.00671754746821,0.699073193053
0.01,linear_mc,2,0.00971591885474,0.00709706818236,0.730457745527
0.01,moment_ode,2,0.00990098970868,0.00724561534385,0.731807178579
0.03,bounded_mc,1,0.0290811264264,0.0154465681138,0.531154395029
0.03,linear_mc,1,0.0290931079995,0.0166355496701,0.5718037987
0.03,moment_ode,1,0.0291262135593,0.01627167429,0.558660817922
0.03,bounded_mc,2,0.0276959747734,0.0179439497269,0.647890167208
0.03,linear_mc,2,0.0285791132728,0.0206865348466,0.723834033935
0.03,moment_ode,2,0.0291262126293,0.0211669378084,0.726731555446
0.1,bounded_mc,1,0.0907674415691,0.0410066925819,0.451777552314
0.1,linear_mc,1,0.0908142861328,0.0495739016568,0.545882192856
0.1,moment_ode,1,0.0909090908837,0.0486639435102,0.535303378762
0.1,bounded_mc,2,0.0814199417987,0.0440988357295,0.541622049283
0.1,linear_mc,2,0.0891787622408,0.0627575783673,0.703727847196
0.1,moment_ode,2,0.0909090891015,0.0646180589192,0.710798662245
0.3,bounded_mc,1,0.230584840211,0.0761978643823,0.330454787542
0.3,linear_mc,1,0.230612817409,0.112451812992,0.48762169534
0.3,moment_ode,1,0.230769230768,0.111207663131,0.481899873571
0.3,bounded_mc,2,0.183805414064,0.0746797363804,0.406297805538
0.3,linear_mc,2,0.226302462715,0.150207915124,0.663748477689
0.3,moment_ode,2,0.230769228712,0.156214981207,0.676931591266
1,bounded_mc,1,0.500175753676,0.0851893784705,0.1703188886
1,linear_mc,1,0.500249003058,0.186912795498,0.373639516232
1,moment_ode,1,0.5,0.186816179439,0.373632358879
1,bounded_mc,2,0.330034965537,0.0897464262673,0.271930054809
1,linear_mc,2,0.490425183953,0.29585762584,0.603267604357
1,moment_ode,2,0.499999997939,0.310699758833,0.621399520228
3,bounded_mc,1,0.750398437758,0.0463352124892,0.061747479949
3,linear_mc,1,0.751347633209,0.19124772035,0.254539592456
3,moment_ode,1,0.75,0.191575220857,0.255433627809
3,bounded_mc,2,0.426526603568,0.08846088752,0.20739828836
3,linear_mc,2,0.736380289251,0.41611688095,0.565084219423
3,moment_ode,2,0.749999997939,0.438469207701,0.584625611874
