input,time,model,node,mean,sd,cv
0.01,0,bounded_mc,1,0,0,nan
0.01,0,linear_mc,1,0,0,nan
0.01,0,moment_ode,1,0,0,nan
0.01,0,bounded_mc,2,0,0,nan
0.01,0,linear_mc,2,0,0,nan
0.01,0,moment_ode,2,0,0,nan
0.01,0.1,bounded_mc,1,0.000952364651645,0.000121144573738,0.127203979619
0.01,0.1,linear_mc,1,0.000952365348,0.000121235558137,0.127299421794
0.01,0.1,moment_ode,1,0.000951158090239,0.000120754920863,0.126955678664
0.01,0.1,bounded_mc,2,4.64101148602e-05,5.83683506177e-06,0.125766442926
0.01,0.1,linear_mc,2,4.64112180166e-05,5.83832430544e-06,0.125795541573
0.01,0.1,moment_ode,2,4.67729401435e-05,5.97125398179e-06,0.127664713047
0.01,0.2,bounded_mc,1,0.0018081091367,0.00032448957542,0.179463489694
0.01,0.2,linear_mc,1,0.00180810309921,0.000324983926642,0.179737497704
0.01,0.2,moment_ode,1,0.0018109413075,0.000322896570378,0.178303166999
0.01,0.2,bounded_mc,2,0.000174541034858,3.11670071733e-05,0.178565500077
0.01,0.2,linear_mc,2,0.000174557004391,3.1186753216e-05,0.178662284706
0.01,0.2,moment_ode,2,0.000175116171757,3.15766479933e-05,0.180318286292
0.01,0.3,bounded_mc,1,0.00258854679202,0.00056196034975,0.217094916531
0.01,0.3,linear_mc,1,0.00258854941732,0.000563236626456,0.217587743424
0.01,0.3,moment_ode,1,0.00258812775871,0.000561128942836,0.216808826747
0.01,0.3,bounded_mc,2,0.000368546773219,7.95662461709e-05,0.21589185404
0.01,0.3,linear_mc,2,0.000368619060746,7.96541298972e-05,0.216087930277
0.01,0.3,moment_ode,2,0.000369003447473,8.13747103284e-05,0.220525609952
0.01,0.4,bounded_mc,1,0.00328692119089,0.000829353138379,0.252319143117
0.01,0.4,linear_mc,1,0.00328693357924,0.000831980595159,0.253117556257
0.01,0.4,moment_ode,1,0.00329065226466,0.000817681846792,0.248486251669
0.01,0.4,bounded_mc,2,0.000611730907065,0.000153631550061,0.251142370423
0.01,0.4,linear_mc,2,0.000611935627768,0.000153898481585,0.251494560215
0.01,0.4,moment_ode,2,0.000614727497954,0.000156280127103,0.254226673807
0.01,0.5,bounded_mc,1,0.00391207408614,0.00108461324676,0.277247624374
0.01,0.5,linear_mc,1,0.00391204189873,0.00108873261388,0.278302902182
0.01,0.5,moment_ode,1,0.00392568737201,0.00108222254113,0.275677209766
0.01,0.5,bounded_mc,2,0.000897206711094,0.000252711649675,0.281664912389
0.01,0.5,linear_mc,2,0.000897660881366,0.000253319613471,0.282199680001
0.01,0.5,moment_ode,2,0.000900603086417,0.00025551760422,0.283718330609
0.01,0.6,bounded_mc,1,0.0045053068956,0.00135827128054,0.30148252095
0.01,0.6,linear_mc,1,0.00450538342912,0.0013645205016,0.30286445606
0.01,0.6,moment_ode,1,0.00449971658258,0.0013480672031,0.299589358209
0.01,0.6,bounded_mc,2,0.00121413461028,0.000379118223348,0.312253863894
0.01,0.6,linear_mc,2,0.00121499386389,0.000380328721866,0.313029335512
0.01,0.6,moment_ode,2,0.00121670564785,0.000377392241346,0.310175466033
0.01,0.7,bounded_mc,1,0.00501469545478,0.0015897076492,0.317009809178
0.01,0.7,linear_mc,1,0.00501464671893,0.00159784830491,0.318636265816
0.01,0.7,moment_ode,1,0.00501860054786,0.00161069343768,0.320944737944
0.01,0.7,bounded_mc,2,0.00154339352853,0.000515036742862,0.333704096422
0.01,0.7,linear_mc,2,0.00154480854182,0.000517059228593,0.334707644732
0.01,0.7,moment_ode,2,0.00155464142274,0.000519706754888,0.33429364951
0.01,0.8,bounded_mc,1,0.00545799075076,0.00184082336507,0.33727125038
0.01,0.8,linear_mc,1,0.00545778801693,0.00185124210001,0.339192745168
0.01,0.8,moment_ode,1,0.00548763690431,0.00186699035858,0.340217545573
0.01,0.8,bounded_mc,2,0.00189584211671,0.0006644140041,0.35045851036
0.01,0.8,linear_mc,2,0.00189800132303,0.000667529195007,0.351701122074
0.01,0.8,moment_ode,2,0.00190734545205,0.000680014930661,0.356524262519
0.01,0.9,bounded_mc,1,0.00591065388873,0.00211660508448,0.358099987637
0.01,0.9,linear_mc,1,0.00591070765696,0.00213068469117,0.360478781024
0.01,0.9,moment_ode,1,0.00591161436053,0.00211482353341,0.357740441855
0.01,0.9,bounded_mc,2,0.00224199198879,0.000836221428963,0.372981452719
0.01,0.9,linear_mc,2,0.00224508078268,0.000840959503136,0.37457872769
0.01,0.9,moment_ode,2,0.00226890420681,0.00085578401729,0.377179439626
0.01,1,bounded_mc,1,0.00630610651931,0.00231915983203,0.367764138606
0.01,1,linear_mc,1,0.00630608749133,0.00233589102694,0.370418429834
0.01,1,moment_ode,1,0.0062948615884,0.00235275887637,0.37375863525
0.01,1,bounded_mc,2,0.00260503255418,0.00101065763187,0.38796353245
0.01,1,linear_mc,2,0.00260928801403,0.00101733568746,0.38989014704
0.01,1,moment_ode,2,0.00263439998848,0.00104450109703,0.396485386273
0.01,1.1,bounded_mc,1,0.00664705623606,0.00260382576715,0.391726152853
0.01,1.1,linear_mc,1,0.00664728881953,0.00262546498551,0.394967791649
0.01,1.1,moment_ode,1,0.00664129141744,0.00257987632245,0.388460038913
0.01,1.1,bounded_mc,2,0.00295873103642,0.00119198795041,0.402871344419
0.01,1.1,linear_mc,2,0.00296430379452,0.00120108729591,0.40518360437
0.01,1.1,moment_ode,2,0.00299977455804,0.00124374279138,0.414612087446
0.01,1.2,bounded_mc,1,0.00695827215239,0.00276821046844,0.397830152058
0.01,1.2,linear_mc,1,0.00695826300768,0.00279218452614,0.401276083278
0.01,1.2,moment_ode,1,0.00695444078348,0.00279563847716,0.401993282307
0.01,1.2,bounded_mc,2,0.00332613893381,0.00139499416623,0.419403456678
0.01,1.2,linear_mc,2,0.00333335592415,0.00140671916153,0.422012888374
0.01,1.2,moment_ode,2,0.00336170973947,0.00145122001496,0.4316910523
0.01,1.3,bounded_mc,1,0.00727797037383,0.00299138633632,0.411019306574
0.01,1.3,linear_mc,1,0.00727830100097,0.00301931767195,0.414838252987
0.01,1.3,moment_ode,1,0.00723750683968,0.00299979502443,0.414479059002
0.01,1.3,bounded_mc,2,0.00367142697694,0.00158889319476,0.432772653449
0.01,1.3,linear_mc,2,0.00368038708517,0.00160394409526,0.435808532676
0.01,1.3,moment_ode,2,0.00371752299817,0.00166480533093,0.447826504838
0.01,1.4,bounded_mc,1,0.00750667690166,0.00314696253807,0.419221791386
0.01,1.4,linear_mc,1,0.00750664203746,0.00317764464111,0.423311065753
0.01,1.4,moment_ode,1,0.00749337959836,0.00319231149829,0.426017587444
0.01,1.4,bounded_mc,2,0.0040080365837,0.00182470444486,0.455261424578
0.01,1.4,linear_mc,2,0.00401904633849,0.00184436405789,0.458905895218
0.01,1.4,moment_ode,2,0.00406507622225,0.00188254800546,0.463102756883
0.01,1.5,bounded_mc,1,0.00769482224848,0.00327964016143,0.426213894944
0.01,1.5,linear_mc,1,0.00769422345053,0.0033133801391,0.430632169757
0.01,1.5,moment_ode,1,0.00772467143715,0.00337331526871,0.436693689324
0.01,1.5,bounded_mc,2,0.00433900967737,0.00203176366138,0.468255157847
0.01,1.5,linear_mc,2,0.00435214584127,0.00205536120482,0.472263862421
0.01,1.5,moment_ode,2,0.00440269613648,0.00210268031775,0.47758924363
0.01,1.6,bounded_mc,1,0.00791819240995,0.00348226680574,0.439780523818
0.01,1.6,linear_mc,1,0.007918004977,0.00352401390064,0.445063360136
0.01,1.6,moment_ode,1,0.00793374377047,0.00354305404569,0.446580346958
0.01,1.6,bounded_mc,2,0.00467180435206,0.00226383669901,0.484574380348
0.01,1.6,linear_mc,2,0.00468742668627,0.00229283195151,0.489145133347
0.01,1.6,moment_ode,2,0.00472910495839,0.00232361766686,0.491344067705
0.01,1.7,bounded_mc,1,0.00813202657537,0.00374554326811,0.460591616787
0.01,1.7,linear_mc,1,0.0081328294268,0.00379848796309,0.467056145377
0.01,1.7,moment_ode,1,0.00812273115882,0.00370186369904,0.455741255824
0.01,1.7,bounded_mc,2,0.00498074504913,0.00243938114137,0.489762298072
0.01,1.7,linear_mc,2,0.0049986909721,0.00247265089669,0.494659684004
0.01,1.7,moment_ode,2,0.00504336006538,0.00254395432337,0.50441655769
0.01,1.8,bounded_mc,1,0.00833884178302,0.00384583295197,0.461195097838
0.01,1.8,linear_mc,1,0.00833954537499,0.00389956121307,0.467598776399
0.01,1.8,moment_ode,1,0.00829356310195,0.00385014314027,0.464232693831
0.01,1.8,bounded_mc,2,0.00529283975086,0.00268414121692,0.507126862565
0.01,1.8,linear_mc,2,0.00531375370825,0.00272546765442,0.512908163241
