condition_id,family,level,alpha_scale,beta_scale,sigma_scale,r,dose,chunk,mc,seed,prefix,log,command
baseline,baseline,1.0,1.0,1.0,1.0,0.75,0.0,1,25,41000,results/parameter_sensitivity/production_v2/chunks/baseline/dose_0/chunk_001,results/parameter_sensitivity/production_v2/logs/baseline/dose_0_chunk_001.log,./nfkb_revision_sim --scenario combined --weights random --steps 500000 --dt 0.001 --save-every 500000 --mc 25 --progress-every 0 --seed 41000 --sigma 0.01 --alpha-scale 1 --beta-scale 1 --sigma-scale 1 --rb 0.75 --fucox 0 --write-timecourse 0 --write-replicates 1 --out-prefix results/parameter_sensitivity/production_v2/chunks/baseline/dose_0/chunk_001
baseline,baseline,1.0,1.0,1.0,1.0,0.75,0.0,2,25,41001,results/parameter_sensitivity/production_v2/chunks/baseline/dose_0/chunk_002,results/parameter_sensitivity/production_v2/logs/baseline/dose_0_chunk_002.log,./nfkb_revision_sim --scenario combined --weights random --steps 500000 --dt 0.001 --save-every 500000 --mc 25 --progress-every 0 --seed 41001 --sigma 0.01 --alpha-scale 1 --beta-scale 1 --sigma-scale 1 --rb 0.75 --fucox 0 --write-timecourse 0 --write-replicates 1 --out-prefix results/parameter_sensitivity/production_v2/chunks/baseline/dose_0/chunk_002
baseline,baseline,1.0,1.0,1.0,1.0,0.75,0.0,3,25,41002,results/parameter_sensitivity/production_v2/chunks/baseline/dose_0/chunk_003,results/parameter_sensitivity/production_v2/logs/baseline/dose_0_chunk_003.log,./nfkb_revision_sim --scenario combined --weights random --steps 500000 --dt 0.001 --save-every 500000 --mc 25 --progress-every 0 --seed 41002 --sigma 0.01 --alpha-scale 1 --beta-scale 1 --sigma-scale 1 --rb 0.75 --fucox 0 --write-timecourse 0 --write-replicates 1 --out-prefix results/parameter_sensitivity/production_v2/chunks/baseline/dose_0/chunk_003
baseline,baseline,1.0,1.0,1.0,1.0,0.75,0.0,4,25,41003,results/parameter_sensitivity/production_v2/chunks/baseline/dose_0/chunk_004,results/parameter_sensitivity/production_v2/logs/baseline/dose_0_chunk_004.log,./nfkb_revision_sim --scenario combined --weights random --steps 500000 --dt 0.001 --save-every 500000 --mc 25 --progress-every 0 --seed 41003 --sigma 0.01 --alpha-scale 1 --beta-scale 1 --sigma-scale 1 --rb 0.75 --fucox 0 --write-timecourse 0 --write-replicates 1 --out-prefix results/parameter_sensitivity/production_v2/chunks/baseline/dose_0/chunk_004
baseline,baseline,1.0,1.0,1.0,1.0,0.75,0.0,5,25,41004,results/parameter_sensitivity/production_v2/chunks/baseline/dose_0/chunk_005,results/parameter_sensitivity/production_v2/logs/baseline/dose_0_chunk_005.log,./nfkb_revision_sim --scenario combined --weights random --steps 500000 --dt 0.001 --save-every 500000 --mc 25 --progress-every 0 --seed 41004 --sigma 0.01 --alpha-scale 1 --beta-scale 1 --sigma-scale 1 --rb 0.75 --fucox 0 --write-timecourse 0 --write-replicates 1 --out-prefix results/parameter_sensitivity/production_v2/chunks/baseline/dose_0/chunk_005
baseline,baseline,1.0,1.0,1.0,1.0,0.75,0.0,6,25,41005,results/parameter_sensitivity/production_v2/chunks/baseline/dose_0/chunk_006,results/parameter_sensitivity/production_v2/logs/baseline/dose_0_chunk_006.log,./nfkb_revision_sim --scenario combined --weights random --steps 500000 --dt 0.001 --save-every 500000 --mc 25 --progress-every 0 --seed 41005 --sigma 0.01 --alpha-scale 1 --beta-scale 1 --sigma-scale 1 --rb 0.75 --fucox 0 --write-timecourse 0 --write-replicates 1 --out-prefix results/parameter_sensitivity/production_v2/chunks/baseline/dose_0/chunk_006
baseline,baseline,1.0,1.0,1.0,1.0,0.75,0.0,7,25,41006,results/parameter_sensitivity/production_v2/chunks/baseline/dose_0/chunk_007,results/parameter_sensitivity/production_v2/logs/baseline/dose_0_chunk_007.log,./nfkb_revision_sim --scenario combined --weights random --steps 500000 --dt 0.001 --save-every 500000 --mc 25 --progress-every 0 --seed 41006 --sigma 0.01 --alpha-scale 1 --beta-scale 1 --sigma-scale 1 --rb 0.75 --fucox 0 --write-timecourse 0 --write-replicates 1 --out-prefix results/parameter_sensitivity/production_v2/chunks/baseline/dose_0/chunk_007
baseline,baseline,1.0,1.0,1.0,1.0,0.75,0.0,8,25,41007,results/parameter_sensitivity/production_v2/chunks/baseline/dose_0/chunk_008,results/parameter_sensitivity/production_v2/logs/baseline/dose_0_chunk_008.log,./nfkb_revision_sim --scenario combined --weights random --steps 500000 --dt 0.001 --save-every 500000 --mc 25 --progress-every 0 --seed 41007 --sigma 0.01 --alpha-scale 1 --beta-scale 1 --sigma-scale 1 --rb 0.75 --fucox 0 --write-timecourse 0 --write-replicates 1 --out-prefix results/parameter_sensitivity/production_v2/chunks/baseline/dose_0/chunk_008
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,1,25,41000,results/parameter_sensitivity/production_v2/chunks/baseline/dose_100/chunk_001,results/parameter_sensitivity/production_v2/logs/baseline/dose_100_chunk_001.log,./nfkb_revision_sim --scenario combined --weights random --steps 500000 --dt 0.001 --save-every 500000 --mc 25 --progress-every 0 --seed 41000 --sigma 0.01 --alpha-scale 1 --beta-scale 1 --sigma-scale 1 --rb 0.75 --fucox 100 --write-timecourse 0 --write-replicates 1 --out-prefix results/parameter_sensitivity/production_v2/chunks/baseline/dose_100/chunk_001
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,2,25,41001,results/parameter_sensitivity/production_v2/chunks/baseline/dose_100/chunk_002,results/parameter_sensitivity/production_v2/logs/baseline/dose_100_chunk_002.log,./nfkb_revision_sim --scenario combined --weights random --steps 500000 --dt 0.001 --save-every 500000 --mc 25 --progress-every 0 --seed 41001 --sigma 0.01 --alpha-scale 1 --beta-scale 1 --sigma-scale 1 --rb 0.75 --fucox 100 --write-timecourse 0 --write-replicates 1 --out-prefix results/parameter_sensitivity/production_v2/chunks/baseline/dose_100/chunk_002
