condition_id,family,level,alpha_scale,beta_scale,sigma_scale,r,dose,scenario,fucoxanthin,steps,dt,final_time,replicates,save_every,seed,random_weights,fixed_weight,sigma_base,sigma_effective,feedback_on,clamp_receptors,projected_em,saturating_inputs,isolate_branches,cross_branch_scale,predictor_violations,predictor_values,violation_rate,max_lower_overshoot,max_upper_overshoot,mean_overshoot_per_value
baseline,baseline,1.0,1.0,1.0,1.0,0.75,0.0,combined,0,500000,0.001,500,200,500000,41000,1,0.5,0.01,0.01,0,1,1,1,0,0,0,2200000000,0.0,0.0,0.0,0.0
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,combined,100,500000,0.001,500,200,500000,41000,1,0.5,0.01,0.01,0,1,1,1,0,0,0,2200000000,0.0,0.0,0.0,0.0
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,0.0,combined,0,500000,0.001,500,200,500000,41000,1,0.5,0.01,0.01,0,1,1,1,0,0,0,2200000000,0.0,0.0,0.0,0.0
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,combined,100,500000,0.001,500,200,500000,41000,1,0.5,0.01,0.01,0,1,1,1,0,0,0,2200000000,0.0,0.0,0.0,0.0
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,0.0,combined,0,500000,0.001,500,200,500000,41000,1,0.5,0.01,0.01,0,1,1,1,0,0,0,2200000000,0.0,0.0,0.0,0.0
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,combined,100,500000,0.001,500,200,500000,41000,1,0.5,0.01,0.01,0,1,1,1,0,0,0,2200000000,0.0,0.0,0.0,0.0
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,0.0,combined,0,500000,0.001,500,200,500000,41000,1,0.5,0.01,0.01,0,1,1,1,0,0,0,2200000000,0.0,0.0,0.0,0.0
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,combined,100,500000,0.001,500,200,500000,41000,1,0.5,0.01,0.01,0,1,1,1,0,0,0,2200000000,0.0,0.0,0.0,0.0
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,0.0,combined,0,500000,0.001,500,200,500000,41000,1,0.5,0.01,0.01,0,1,1,1,0,0,0,2200000000,0.0,0.0,0.0,0.0
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,combined,100,500000,0.001,500,200,500000,41000,1,0.5,0.01,0.01,0,1,1,1,0,0,0,2200000000,0.0,0.0,0.0,0.0
beta_0p50,beta,0.5,1.0,0.5,1.0,0.75,0.0,combined,0,500000,0.001,500,200,500000,41000,1,0.5,0.01,0.01,0,1,1,1,0,0,0,2200000000,0.0,0.0,0.0,0.0
beta_0p50,beta,0.5,1.0,0.5,1.0,0.75,100.0,combined,100,500000,0.001,500,200,500000,41000,1,0.5,0.01,0.01,0,1,1,1,0,0,0,2200000000,0.0,0.0,0.0,0.0
beta_0p75,beta,0.75,1.0,0.75,1.0,0.75,0.0,combined,0,500000,0.001,500,200,500000,41000,1,0.5,0.01,0.01,0,1,1,1,0,0,0,2200000000,0.0,0.0,0.0,0.0
beta_0p75,beta,0.75,1.0,0.75,1.0,0.75,100.0,combined,100,500000,0.001,500,200,500000,41000,1,0.5,0.01,0.01,0,1,1,1,0,0,0,2200000000,0.0,0.0,0.0,0.0
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,0.0,combined,0,500000,0.001,500,200,500000,41000,1,0.5,0.01,0.01,0,1,1,1,0,0,0,2200000000,0.0,0.0,0.0,0.0
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,100.0,combined,100,500000,0.001,500,200,500000,41000,1,0.5,0.01,0.01,0,1,1,1,0,0,0,2200000000,0.0,0.0,0.0,0.0
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,0.0,combined,0,500000,0.001,500,200,500000,41000,1,0.5,0.01,0.01,0,1,1,1,0,0,0,2200000000,0.0,0.0,0.0,0.0
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,100.0,combined,100,500000,0.001,500,200,500000,41000,1,0.5,0.01,0.01,0,1,1,1,0,0,0,2200000000,0.0,0.0,0.0,0.0
sigma_0p00,sigma,0.0,1.0,1.0,0.0,0.75,0.0,combined,0,500000,0.001,500,200,500000,41000,1,0.5,0.01,0.0,0,1,1,1,0,0,0,2200000000,0.0,0.0,0.0,0.0
sigma_0p00,sigma,0.0,1.0,1.0,0.0,0.75,100.0,combined,100,500000,0.001,500,200,500000,41000,1,0.5,0.01,0.0,0,1,1,1,0,0,0,2200000000,0.0,0.0,0.0,0.0
sigma_10p00,sigma,10.0,1.0,1.0,10.0,0.75,0.0,combined,0,500000,0.001,500,200,500000,41000,1,0.5,0.01,0.1,0,1,1,1,0,0,0,2200000000,0.0,0.0,0.0,0.0
sigma_10p00,sigma,10.0,1.0,1.0,10.0,0.75,100.0,combined,100,500000,0.001,500,200,500000,41000,1,0.5,0.01,0.1,0,1,1,1,0,0,0,2200000000,0.0,0.0,0.0,0.0
sigma_30p00,sigma,30.0,1.0,1.0,30.0,0.75,0.0,combined,0,500000,0.001,500,200,500000,41000,1,0.5,0.01,0.3,0,1,1,1,0,0,0,2200000000,0.0,0.0,0.0,0.0
