condition_id,family,level,alpha_scale,beta_scale,sigma_scale,r,dose,node,metric,reduction_percent,ci95_low,ci95_high,paired_replicates
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,BAFF,auc,3.0620913082236467,2.5731838137756236,3.6027065168607453,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,BAFF,final,3.033111908562003,2.5270812583863336,3.587522249570762,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,BAFFR,auc,0.0,0.0,0.0,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,BAFFR,final,0.0,0.0,0.0,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,Btx,auc,0.0,0.0,0.0,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,Btx,final,0.0,0.0,0.0,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,CD40,auc,0.0,0.0,0.0,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,CD40,final,0.0,0.0,0.0,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,IKKa_noncanonical,auc,0.0,0.0,0.0,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,IKKa_noncanonical,final,0.0,0.0,0.0,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,IL1R,auc,0.0,0.0,0.0,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,IL1R,final,0.0,0.0,0.0,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,IkBa_release_signal,auc,28.567683802712406,26.79200529548665,30.500673116388196,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,IkBa_release_signal,final,28.6791560838205,26.888900746920083,30.563254428403773,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,LTB,auc,0.0,0.0,0.0,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,LTB,final,0.0,0.0,0.0,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,NEMO_IKKa_IKKb,auc,14.187816741898729,13.067839419261931,15.377731063033576,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,NEMO_IKKa_IKKb,final,14.235607456171683,13.092052990550377,15.498973384964538,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,NIK,auc,0.0,0.0,0.0,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,NIK,final,0.0,0.0,0.0,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,Phenotype_canonical,auc,14.215982797579564,12.683645804132741,15.80540641845749,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,Phenotype_canonical,final,13.639814590271781,12.156830970624059,15.188097100173126,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,Phenotype_noncanonical,auc,1.5444975662416094,1.2386523554207916,1.9282880267916667,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,Phenotype_noncanonical,final,1.4759780860291505,1.1659149472412755,1.82156545331784,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,TAK1_TAB,auc,0.0,0.0,0.0,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,TAK1_TAB,final,0.0,0.0,0.0,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,TNFR,auc,0.0,0.0,0.0,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,TNFR,final,0.0,0.0,0.0,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,TNFa,auc,20.175816121483003,18.496218663422436,21.929133414394254,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,TNFa,final,20.028379444396204,18.29676142957612,21.802627033370445,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,TRAF2_3,auc,0.0,0.0,0.0,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,TRAF2_3,final,0.0,0.0,0.0,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,TRAF2_5,auc,0.0,0.0,0.0,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,TRAF2_5,final,0.0,0.0,0.0,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,TRAF6,auc,0.0,0.0,0.0,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,TRAF6,final,0.0,0.0,0.0,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,p100,auc,30.360406191377997,28.35610252154714,32.53090039235314,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,p100,final,30.414530381217908,28.345194131965894,32.6694734332355,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,p100_RelB,auc,8.62434683703891,7.737435667882648,9.556112504975832,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,p100_RelB,final,8.680100172339111,7.805369368305407,9.526738952878167,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,p50_p65,auc,45.61589410062129,44.112888375866106,47.10173335752628,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,p50_p65,final,45.77177124063413,44.37586919503976,47.319235481454626,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,p52,auc,5.295507527783472,4.5571914938540745,6.108579478426545,200
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,p52,final,5.305837389129275,4.572599491710187,6.142456563412327,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,BAFF,auc,11.00721674947267,9.661487144298455,12.463574622738662,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,BAFF,final,11.135729826162388,9.738387606884137,12.623422877686634,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,BAFFR,auc,0.0,0.0,0.0,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,BAFFR,final,0.0,0.0,0.0,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,Btx,auc,0.0,0.0,0.0,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,Btx,final,0.0,0.0,0.0,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,CD40,auc,0.0,0.0,0.0,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,CD40,final,0.0,0.0,0.0,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,IKKa_noncanonical,auc,0.0,0.0,0.0,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,IKKa_noncanonical,final,0.0,0.0,0.0,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,IL1R,auc,0.0,0.0,0.0,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,IL1R,final,0.0,0.0,0.0,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,IkBa_release_signal,auc,40.795556986207245,37.99537517148276,43.561173420948094,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,IkBa_release_signal,final,40.969039196605635,38.134187494265824,43.69000130614906,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,LTB,auc,0.0,0.0,0.0,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,LTB,final,0.0,0.0,0.0,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,NEMO_IKKa_IKKb,auc,22.828500773241757,20.490648377154574,25.10689388032992,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,NEMO_IKKa_IKKb,final,22.9846243784406,20.51948089620131,25.34222551965108,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,NIK,auc,0.0,0.0,0.0,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,NIK,final,0.0,0.0,0.0,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,Phenotype_canonical,auc,42.660716349871194,40.65994008296708,44.87393748465846,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,Phenotype_canonical,final,42.01447791472914,40.04158418779221,44.2586853177513,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,Phenotype_noncanonical,auc,9.395396362130004,8.18842023120091,10.616431713120264,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,Phenotype_noncanonical,final,9.347654707600395,8.240513594790425,10.659791285100994,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,TAK1_TAB,auc,0.0,0.0,0.0,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,TAK1_TAB,final,0.0,0.0,0.0,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,TNFR,auc,0.0,0.0,0.0,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,TNFR,final,0.0,0.0,0.0,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,TNFa,auc,47.58767420493496,45.73015815354846,49.530038722018894,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,TNFa,final,47.56140437097809,45.773417554229965,49.500992065982366,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,TRAF2_3,auc,0.0,0.0,0.0,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,TRAF2_3,final,0.0,0.0,0.0,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,TRAF2_5,auc,0.0,0.0,0.0,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,TRAF2_5,final,0.0,0.0,0.0,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,TRAF6,auc,0.0,0.0,0.0,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,TRAF6,final,0.0,0.0,0.0,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,p100,auc,52.61834096212561,50.600500602361414,54.71194127880154,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,p100,final,52.78364696154733,50.8620484086502,54.91561582139149,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,p100_RelB,auc,14.412442296159544,12.940107964868341,15.926851062303319,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,p100_RelB,final,14.621796598242852,13.127896638227082,16.16156769084539,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,p50_p65,auc,59.93928125993111,58.30369472181923,61.59381205464821,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,p50_p65,final,60.21473945983053,58.53980586173067,61.94112164541445,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,p52,auc,13.401085341807995,11.736433700147233,15.203813258009145,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,p52,final,13.595099331767669,11.780090484734496,15.493804339062136,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,BAFF,auc,6.399469263314462,5.585744835697787,7.319187290843074,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,BAFF,final,6.394086530771137,5.581567599493924,7.294689598637741,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,BAFFR,auc,0.0,0.0,0.0,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,BAFFR,final,0.0,0.0,0.0,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,Btx,auc,0.0,0.0,0.0,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,Btx,final,0.0,0.0,0.0,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,CD40,auc,0.0,0.0,0.0,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,CD40,final,0.0,0.0,0.0,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,IKKa_noncanonical,auc,0.0,0.0,0.0,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,IKKa_noncanonical,final,0.0,0.0,0.0,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,IL1R,auc,0.0,0.0,0.0,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,IL1R,final,0.0,0.0,0.0,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,IkBa_release_signal,auc,33.896849922981545,31.595550195533963,36.02698772180153,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,IkBa_release_signal,final,34.03757256729186,31.825943499746174,36.24874858748226,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,LTB,auc,0.0,0.0,0.0,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,LTB,final,0.0,0.0,0.0,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,NEMO_IKKa_IKKb,auc,17.59470563401959,16.016724934574217,19.08890050368907,200
