condition_id,family,level,alpha_scale,beta_scale,sigma_scale,r,dose,node,final_mean,final_sd,final_se,final_cv,auc_mean,auc_sd,auc_se,auc_cv
baseline,baseline,1.0,1.0,1.0,1.0,0.75,0.0,TNFR,1.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
baseline,baseline,1.0,1.0,1.0,1.0,0.75,0.0,IL1R,1.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
baseline,baseline,1.0,1.0,1.0,1.0,0.75,0.0,CD40,1.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
baseline,baseline,1.0,1.0,1.0,1.0,0.75,0.0,LTB,1.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
baseline,baseline,1.0,1.0,1.0,1.0,0.75,0.0,BAFFR,1.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
baseline,baseline,1.0,1.0,1.0,1.0,0.75,0.0,TRAF2_5,0.45354472925000006,0.20253778287543617,0.01432158397177095,0.4465662807070007,226.008547725,100.8285627869466,7.129656048394352,0.446127209797532
baseline,baseline,1.0,1.0,1.0,1.0,0.75,0.0,TRAF6,0.6050789359125,0.14010644439466233,0.009907021691940169,0.23155068880950605,301.7256551625,69.72234096721878,4.930114009812103,0.23107859664657457
baseline,baseline,1.0,1.0,1.0,1.0,0.75,0.0,TRAF2_3,0.6554709238374999,0.08512311434655224,0.006019113139016498,0.12986558404176507,326.9804543875,42.41503464333026,2.999195862056116,0.12971733959689466
baseline,baseline,1.0,1.0,1.0,1.0,0.75,0.0,Btx,0.42844145226249997,0.17640748627255456,0.012473892979539613,0.41174234038510404,212.8153785,87.57430557805968,6.192438533194889,0.4115036525805379
baseline,baseline,1.0,1.0,1.0,1.0,0.75,0.0,TAK1_TAB,0.48357264210000006,0.14921212590536775,0.010550890606294645,0.3085619675616627,240.4689862,74.10706637981443,5.240160917100839,0.3081772312965922
baseline,baseline,1.0,1.0,1.0,1.0,0.75,0.0,NEMO_IKKa_IKKb,0.4652436550375,0.1500370132444219,0.010609218949410656,0.32249126155697594,230.74366955000002,74.28624855501202,5.252831010215837,0.32194273715021626
baseline,baseline,1.0,1.0,1.0,1.0,0.75,0.0,IkBa_release_signal,0.33021212587500004,0.1435634375923673,0.010151468025201464,0.434761252973225,163.377556675,71.13409478137466,5.029940079347662,0.4353969800324452
baseline,baseline,1.0,1.0,1.0,1.0,0.75,0.0,p50_p65,0.2973161333125,0.12825052123150543,0.009068681325350677,0.4313607869261006,146.372372775,63.23080214242285,4.471092897477208,0.431985906518163
baseline,baseline,1.0,1.0,1.0,1.0,0.75,0.0,TNFa,0.6196866580375,0.20643475759706384,0.0145971416969485,0.3331276459151579,301.9203035875,102.12543084798898,7.221358468421083,0.33825294170185494
baseline,baseline,1.0,1.0,1.0,1.0,0.75,0.0,p100,0.25862056725000004,0.17102681039213077,0.012093421739298156,0.6613039798447459,126.96675095,84.03136211567838,5.941914598433852,0.661837540040465
baseline,baseline,1.0,1.0,1.0,1.0,0.75,0.0,Phenotype_canonical,0.7884652180875,0.16749688172333002,0.011843818089416775,0.212434078106337,381.70516738749996,84.53585432219386,5.977587584462139,0.22146898062916354
baseline,baseline,1.0,1.0,1.0,1.0,0.75,0.0,NIK,0.405432408025,0.18698314182625742,0.013221704755291257,0.4611943646466652,201.39707196249998,92.92400471567423,6.570719386946396,0.46139699952031393
baseline,baseline,1.0,1.0,1.0,1.0,0.75,0.0,IKKa_noncanonical,0.308058851475,0.17046850186820517,0.012053943364971951,0.5533634273191441,152.427095275,84.34883728451824,5.964363482908354,0.5533716766847852
baseline,baseline,1.0,1.0,1.0,1.0,0.75,0.0,p100_RelB,0.3793751871125,0.13342999601813244,0.009434925499811548,0.3517098654598227,186.72962554999998,65.8453760592141,4.655971192124864,0.3526241530516158
baseline,baseline,1.0,1.0,1.0,1.0,0.75,0.0,p52,0.3062981677875,0.17539235016319538,0.012402112016864092,0.5726196517273229,150.11127485,85.96727415945577,6.078804251827423,0.572690320866033
baseline,baseline,1.0,1.0,1.0,1.0,0.75,0.0,BAFF,0.6632187320125,0.19268429097010598,0.013624836877308378,0.29052902409046305,322.95853719999997,95.89290891688319,6.780652616283205,0.2969201859416993
baseline,baseline,1.0,1.0,1.0,1.0,0.75,0.0,Phenotype_noncanonical,0.7724286863250001,0.17381627368536898,0.012290666580350126,0.2250256583715686,372.31345484999997,87.91958360621406,6.216853376705157,0.23614398690381916
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,TNFR,1.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,IL1R,1.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,CD40,1.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,LTB,1.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,BAFFR,1.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
baseline,baseline,1.0,1.0,1.0,1.0,0.75,100.0,TRAF2_5,0.45354472925000006,0.20253778287543617,0.01432158397177095,0.4465662807070007,226.008547725,100.8285627869466,7.129656048394352,0.446127209797532
