condition_id,family,level,dose,node,metric,value,baseline_value,relative_change_percent
baseline,baseline,1.0,0.0,TNFR,final_mean,1.0,1.0,0.0
baseline,baseline,1.0,0.0,TNFR,final_cv,0.0,0.0,
baseline,baseline,1.0,0.0,TNFR,auc_mean,500.0,500.0,0.0
baseline,baseline,1.0,0.0,TNFR,auc_cv,0.0,0.0,
baseline,baseline,1.0,0.0,IL1R,final_mean,1.0,1.0,0.0
baseline,baseline,1.0,0.0,IL1R,final_cv,0.0,0.0,
baseline,baseline,1.0,0.0,IL1R,auc_mean,500.0,500.0,0.0
baseline,baseline,1.0,0.0,IL1R,auc_cv,0.0,0.0,
baseline,baseline,1.0,0.0,CD40,final_mean,1.0,1.0,0.0
baseline,baseline,1.0,0.0,CD40,final_cv,0.0,0.0,
baseline,baseline,1.0,0.0,CD40,auc_mean,500.0,500.0,0.0
baseline,baseline,1.0,0.0,CD40,auc_cv,0.0,0.0,
baseline,baseline,1.0,0.0,LTB,final_mean,1.0,1.0,0.0
baseline,baseline,1.0,0.0,LTB,final_cv,0.0,0.0,
baseline,baseline,1.0,0.0,LTB,auc_mean,500.0,500.0,0.0
baseline,baseline,1.0,0.0,LTB,auc_cv,0.0,0.0,
baseline,baseline,1.0,0.0,BAFFR,final_mean,1.0,1.0,0.0
baseline,baseline,1.0,0.0,BAFFR,final_cv,0.0,0.0,
baseline,baseline,1.0,0.0,BAFFR,auc_mean,500.0,500.0,0.0
baseline,baseline,1.0,0.0,BAFFR,auc_cv,0.0,0.0,
baseline,baseline,1.0,0.0,TRAF2_5,final_mean,0.45354472925000006,0.45354472925000006,0.0
baseline,baseline,1.0,0.0,TRAF2_5,final_cv,0.4465662807070007,0.4465662807070007,0.0
baseline,baseline,1.0,0.0,TRAF2_5,auc_mean,226.008547725,226.008547725,0.0
baseline,baseline,1.0,0.0,TRAF2_5,auc_cv,0.446127209797532,0.446127209797532,0.0
baseline,baseline,1.0,0.0,TRAF6,final_mean,0.6050789359125,0.6050789359125,0.0
baseline,baseline,1.0,0.0,TRAF6,final_cv,0.23155068880950605,0.23155068880950605,0.0
baseline,baseline,1.0,0.0,TRAF6,auc_mean,301.7256551625,301.7256551625,0.0
baseline,baseline,1.0,0.0,TRAF6,auc_cv,0.23107859664657457,0.23107859664657457,0.0
baseline,baseline,1.0,0.0,TRAF2_3,final_mean,0.6554709238374999,0.6554709238374999,0.0
baseline,baseline,1.0,0.0,TRAF2_3,final_cv,0.12986558404176507,0.12986558404176507,0.0
baseline,baseline,1.0,0.0,TRAF2_3,auc_mean,326.9804543875,326.9804543875,0.0
baseline,baseline,1.0,0.0,TRAF2_3,auc_cv,0.12971733959689466,0.12971733959689466,0.0
baseline,baseline,1.0,0.0,Btx,final_mean,0.42844145226249997,0.42844145226249997,0.0
baseline,baseline,1.0,0.0,Btx,final_cv,0.41174234038510404,0.41174234038510404,0.0
baseline,baseline,1.0,0.0,Btx,auc_mean,212.8153785,212.8153785,0.0
baseline,baseline,1.0,0.0,Btx,auc_cv,0.4115036525805379,0.4115036525805379,0.0
baseline,baseline,1.0,0.0,TAK1_TAB,final_mean,0.48357264210000006,0.48357264210000006,0.0
baseline,baseline,1.0,0.0,TAK1_TAB,final_cv,0.3085619675616627,0.3085619675616627,0.0
baseline,baseline,1.0,0.0,TAK1_TAB,auc_mean,240.4689862,240.4689862,0.0
baseline,baseline,1.0,0.0,TAK1_TAB,auc_cv,0.3081772312965922,0.3081772312965922,0.0
baseline,baseline,1.0,0.0,NEMO_IKKa_IKKb,final_mean,0.4652436550375,0.4652436550375,0.0
baseline,baseline,1.0,0.0,NEMO_IKKa_IKKb,final_cv,0.32249126155697594,0.32249126155697594,0.0
baseline,baseline,1.0,0.0,NEMO_IKKa_IKKb,auc_mean,230.74366955000002,230.74366955000002,0.0
baseline,baseline,1.0,0.0,NEMO_IKKa_IKKb,auc_cv,0.32194273715021626,0.32194273715021626,0.0
baseline,baseline,1.0,0.0,IkBa_release_signal,final_mean,0.33021212587500004,0.33021212587500004,0.0
baseline,baseline,1.0,0.0,IkBa_release_signal,final_cv,0.434761252973225,0.434761252973225,0.0
baseline,baseline,1.0,0.0,IkBa_release_signal,auc_mean,163.377556675,163.377556675,0.0
baseline,baseline,1.0,0.0,IkBa_release_signal,auc_cv,0.4353969800324452,0.4353969800324452,0.0
baseline,baseline,1.0,0.0,p50_p65,final_mean,0.2973161333125,0.2973161333125,0.0
baseline,baseline,1.0,0.0,p50_p65,final_cv,0.4313607869261006,0.4313607869261006,0.0
baseline,baseline,1.0,0.0,p50_p65,auc_mean,146.372372775,146.372372775,0.0
baseline,baseline,1.0,0.0,p50_p65,auc_cv,0.431985906518163,0.431985906518163,0.0
baseline,baseline,1.0,0.0,TNFa,final_mean,0.6196866580375,0.6196866580375,0.0
baseline,baseline,1.0,0.0,TNFa,final_cv,0.3331276459151579,0.3331276459151579,0.0
baseline,baseline,1.0,0.0,TNFa,auc_mean,301.9203035875,301.9203035875,0.0
baseline,baseline,1.0,0.0,TNFa,auc_cv,0.33825294170185494,0.33825294170185494,0.0
baseline,baseline,1.0,0.0,p100,final_mean,0.25862056725000004,0.25862056725000004,0.0
baseline,baseline,1.0,0.0,p100,final_cv,0.6613039798447459,0.6613039798447459,0.0
baseline,baseline,1.0,0.0,p100,auc_mean,126.96675095,126.96675095,0.0
baseline,baseline,1.0,0.0,p100,auc_cv,0.661837540040465,0.661837540040465,0.0
baseline,baseline,1.0,0.0,Phenotype_canonical,final_mean,0.7884652180875,0.7884652180875,0.0
baseline,baseline,1.0,0.0,Phenotype_canonical,final_cv,0.212434078106337,0.212434078106337,0.0
baseline,baseline,1.0,0.0,Phenotype_canonical,auc_mean,381.70516738749996,381.70516738749996,0.0
baseline,baseline,1.0,0.0,Phenotype_canonical,auc_cv,0.22146898062916354,0.22146898062916354,0.0
baseline,baseline,1.0,0.0,NIK,final_mean,0.405432408025,0.405432408025,0.0
baseline,baseline,1.0,0.0,NIK,final_cv,0.4611943646466652,0.4611943646466652,0.0
baseline,baseline,1.0,0.0,NIK,auc_mean,201.39707196249998,201.39707196249998,0.0
baseline,baseline,1.0,0.0,NIK,auc_cv,0.46139699952031393,0.46139699952031393,0.0
baseline,baseline,1.0,0.0,IKKa_noncanonical,final_mean,0.308058851475,0.308058851475,0.0
baseline,baseline,1.0,0.0,IKKa_noncanonical,final_cv,0.5533634273191441,0.5533634273191441,0.0
baseline,baseline,1.0,0.0,IKKa_noncanonical,auc_mean,152.427095275,152.427095275,0.0
baseline,baseline,1.0,0.0,IKKa_noncanonical,auc_cv,0.5533716766847852,0.5533716766847852,0.0
baseline,baseline,1.0,0.0,p100_RelB,final_mean,0.3793751871125,0.3793751871125,0.0
baseline,baseline,1.0,0.0,p100_RelB,final_cv,0.3517098654598227,0.3517098654598227,0.0
baseline,baseline,1.0,0.0,p100_RelB,auc_mean,186.72962554999998,186.72962554999998,0.0
baseline,baseline,1.0,0.0,p100_RelB,auc_cv,0.3526241530516158,0.3526241530516158,0.0
baseline,baseline,1.0,0.0,p52,final_mean,0.3062981677875,0.3062981677875,0.0
baseline,baseline,1.0,0.0,p52,final_cv,0.5726196517273229,0.5726196517273229,0.0
baseline,baseline,1.0,0.0,p52,auc_mean,150.11127485,150.11127485,0.0
baseline,baseline,1.0,0.0,p52,auc_cv,0.572690320866033,0.572690320866033,0.0
baseline,baseline,1.0,0.0,BAFF,final_mean,0.6632187320125,0.6632187320125,0.0
baseline,baseline,1.0,0.0,BAFF,final_cv,0.29052902409046305,0.29052902409046305,0.0
baseline,baseline,1.0,0.0,BAFF,auc_mean,322.95853719999997,322.95853719999997,0.0
baseline,baseline,1.0,0.0,BAFF,auc_cv,0.2969201859416993,0.2969201859416993,0.0
baseline,baseline,1.0,0.0,Phenotype_noncanonical,final_mean,0.7724286863250001,0.7724286863250001,0.0
baseline,baseline,1.0,0.0,Phenotype_noncanonical,final_cv,0.2250256583715686,0.2250256583715686,0.0
baseline,baseline,1.0,0.0,Phenotype_noncanonical,auc_mean,372.31345484999997,372.31345484999997,0.0
baseline,baseline,1.0,0.0,Phenotype_noncanonical,auc_cv,0.23614398690381916,0.23614398690381916,0.0
baseline,baseline,1.0,100.0,TNFR,final_mean,1.0,1.0,0.0
baseline,baseline,1.0,100.0,TNFR,final_cv,0.0,0.0,
baseline,baseline,1.0,100.0,TNFR,auc_mean,500.0,500.0,0.0
baseline,baseline,1.0,100.0,TNFR,auc_cv,0.0,0.0,
baseline,baseline,1.0,100.0,IL1R,final_mean,1.0,1.0,0.0
baseline,baseline,1.0,100.0,IL1R,final_cv,0.0,0.0,
baseline,baseline,1.0,100.0,IL1R,auc_mean,500.0,500.0,0.0
baseline,baseline,1.0,100.0,IL1R,auc_cv,0.0,0.0,
baseline,baseline,1.0,100.0,CD40,final_mean,1.0,1.0,0.0
baseline,baseline,1.0,100.0,CD40,final_cv,0.0,0.0,
baseline,baseline,1.0,100.0,CD40,auc_mean,500.0,500.0,0.0
baseline,baseline,1.0,100.0,CD40,auc_cv,0.0,0.0,
baseline,baseline,1.0,100.0,LTB,final_mean,1.0,1.0,0.0
baseline,baseline,1.0,100.0,LTB,final_cv,0.0,0.0,
baseline,baseline,1.0,100.0,LTB,auc_mean,500.0,500.0,0.0
baseline,baseline,1.0,100.0,LTB,auc_cv,0.0,0.0,
baseline,baseline,1.0,100.0,BAFFR,final_mean,1.0,1.0,0.0
baseline,baseline,1.0,100.0,BAFFR,final_cv,0.0,0.0,
